Unnamed: 0,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Year,Metric,Source_File
0,RP Singh,4.0,59,1,24.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
1,Palani Amarnath,4.0,57,1,24.0,MI,Chidambaram,23 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
2,Vikram Singh,4.0,56,0,0.0,MI,Wankhede Stadium,21 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
3,Munaf Patel,4.0,55,0,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
4,Munaf Patel,4.0,55,1,24.0,CSK,Chidambaram,24 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
5,Jacob Oram,4.0,53,0,0.0,MI,Chidambaram,23 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
6,James Hopes,4.0,53,1,24.0,CSK,IS Bindra Stadium,19 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
7,Mohammad Asif,4.0,51,0,0.0,DEC,Arun Jaitley Stadium,15 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
8,Pradeep Sangwan,3.0,51,0,0.0,RCB,M. Chinnaswamy Stadium,19 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
9,RP Singh,4.0,50,0,0.0,DC,Arun Jaitley Stadium,15 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
10,Brett Geeves,4.0,50,1,24.0,MI,Arun Jaitley Stadium,24 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
11,Yo Mahesh,4.0,50,2,12.0,RR,Wankhede Stadium,30 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
12,Ishant Sharma,4.0,49,0,0.0,PBKS,Eden Gardens,25 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
13,Siddharth Trivedi,4.0,48,0,0.0,PBKS,IS Bindra Stadium,28 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
14,Jacques Kallis,4.0,48,1,24.0,KKR,M. Chinnaswamy Stadium,18 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
15,Pankaj Singh,3.0,48,0,0.0,PBKS,IS Bindra Stadium,28 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
16,Anil Kumble,4.0,47,0,0.0,DEC,M. Chinnaswamy Stadium,03 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
17,Shane Warne,4.0,47,0,0.0,DC,Sawai Mansingh Stadium,11 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
18,Rajat Bhatia,4.0,47,0,0.0,RCB,M. Chinnaswamy Stadium,19 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
19,Joginder Sharma,4.0,47,1,24.0,PBKS,IS Bindra Stadium,19 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
20,Pragyan Ojha,4.0,47,1,24.0,RR,Sawai Mansingh Stadium,09 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
21,Shane Warne,4.0,47,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
22,Irfan Pathan,4.0,47,2,12.0,CSK,IS Bindra Stadium,19 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
23,Zaheer Khan,4.0,46,0,0.0,RR,Sawai Mansingh Stadium,17 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
24,Ajit Agarkar,4.0,46,1,24.0,RR,Sawai Mansingh Stadium,01 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
25,Mohammad Asif,4.0,46,1,24.0,MI,DY Patil Stadium,04 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
26,Andrew Symonds,2.5,46,0,0.0,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
27,Anil Kumble,4.0,45,0,0.0,MI,M. Chinnaswamy Stadium,28 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
28,Ashish Nehra,4.0,45,1,24.0,RCB,Wankhede Stadium,20 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
29,Lakshmipathy Balaji,3.0,45,0,0.0,RR,Chidambaram,24 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
30,Joginder Sharma,3.0,45,0,0.0,DEC,Chidambaram,06 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
31,RP Singh,4.0,44,1,24.0,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
32,Albie Morkel,3.0,44,0,0.0,MI,Wankhede Stadium,14 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
33,Shanthakumaran Sreesanth,3.0,44,1,18.0,RR,IS Bindra Stadium,28 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
34,Makhaya Ntini,4.0,43,0,0.0,RR,Chidambaram,24 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
35,Vikrant Yeligati,4.0,43,0,0.0,PBKS,Wankhede Stadium,21 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
36,Gajendra Singh,4.0,43,1,24.0,PBKS,IS Bindra Stadium,03 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
37,Umar Gul,4.0,43,1,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
38,Jacques Kallis,3.0,43,0,0.0,MI,Wankhede Stadium,20 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
39,Lakshmipathy Balaji,4.0,42,0,0.0,RR,DY Patil Stadium,01 June 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
40,Mohammad Asif,4.0,42,0,0.0,RCB,Arun Jaitley Stadium,30 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
41,Chaminda Vaas,4.0,42,1,24.0,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
42,Manpreet Gony,4.0,42,1,24.0,PBKS,IS Bindra Stadium,19 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
43,Palani Amarnath,4.0,42,1,24.0,PBKS,IS Bindra Stadium,19 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
44,Zaheer Khan,4.0,42,1,24.0,DC,Arun Jaitley Stadium,30 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
45,Glenn McGrath,4.0,42,2,12.0,DEC,Arun Jaitley Stadium,15 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
46,Praveen Kumar,3.0,42,1,18.0,RR,M. Chinnaswamy Stadium,26 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
47,Muttiah Muralitharan,4.0,41,0,0.0,KKR,Eden Gardens,18 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
48,Brett Geeves,4.0,41,0,0.0,RR,Arun Jaitley Stadium,19 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
49,Ishant Sharma,4.0,41,0,0.0,PBKS,IS Bindra Stadium,03 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
50,Vinay Kumar,4.0,41,0,0.0,MI,Wankhede Stadium,20 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
51,Dilhara Fernando,4.0,41,1,24.0,KKR,Eden Gardens,29 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
52,RP Singh,4.0,41,3,8.0,RCB,M. Chinnaswamy Stadium,03 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
53,Dale Steyn,4.0,40,0,0.0,CSK,M. Chinnaswamy Stadium,28 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
54,Albie Morkel,4.0,40,0,0.0,DC,Chidambaram,02 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
55,Pradeep Sangwan,4.0,40,0,0.0,CSK,Chidambaram,02 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
56,Vikram Singh,4.0,40,1,24.0,MI,IS Bindra Stadium,25 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
57,Sohail Tanvir,4.0,40,1,24.0,CSK,DY Patil Stadium,01 June 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
58,Shaun Pollock,4.0,40,1,24.0,PBKS,IS Bindra Stadium,25 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
59,Ashley Noffke,4.0,40,1,24.0,KKR,M. Chinnaswamy Stadium,18 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
60,Vikram Singh,4.0,40,1,24.0,DEC,IS Bindra Stadium,23 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
61,Shane Watson,4.0,40,1,24.0,PBKS,IS Bindra Stadium,28 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
62,Yo Mahesh,4.0,40,2,12.0,CSK,Arun Jaitley Stadium,08 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
63,Manpreet Gony,4.0,40,2,12.0,KKR,Chidambaram,26 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
64,Siddharth Chitnis,4.0,40,2,12.0,PBKS,Wankhede Stadium,21 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
65,Muttiah Muralitharan,4.0,40,2,12.0,MI,Chidambaram,23 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
66,Jacques Kallis,4.0,39,0,0.0,RR,Sawai Mansingh Stadium,17 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
67,Glenn McGrath,4.0,39,0,0.0,MI,Arun Jaitley Stadium,24 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
68,Sohail Tanvir,4.0,39,0,0.0,DEC,Sawai Mansingh Stadium,09 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
69,Shane Watson,4.0,39,0,0.0,PBKS,Sawai Mansingh Stadium,21 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
70,Manpreet Gony,4.0,39,1,24.0,DC,Chidambaram,02 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
71,Sanath Jayasuriya,4.0,39,1,24.0,RCB,Wankhede Stadium,20 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
72,Mohammad Asif,4.0,39,2,12.0,PBKS,IS Bindra Stadium,27 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
73,MF Maharoof,4.0,39,2,12.0,DEC,Arun Jaitley Stadium,15 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
74,Muttiah Muralitharan,4.0,39,2,12.0,RR,DY Patil Stadium,01 June 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
75,Jacques Kallis,4.0,39,2,12.0,DC,Arun Jaitley Stadium,30 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
76,Balachandra Akhil,3.0,39,0,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
77,Glenn McGrath,4.0,38,0,0.0,RR,Wankhede Stadium,30 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
78,Praveen Kumar,4.0,38,0,0.0,KKR,M. Chinnaswamy Stadium,18 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
79,Albie Morkel,4.0,38,1,24.0,RCB,M. Chinnaswamy Stadium,28 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
80,Zaheer Khan,4.0,38,1,24.0,KKR,M. Chinnaswamy Stadium,18 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
81,Manpreet Gony,4.0,38,1,24.0,PBKS,Chidambaram,10 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
82,Dilhara Fernando,4.0,38,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
83,Palani Amarnath,4.0,38,2,12.0,RCB,M. Chinnaswamy Stadium,28 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
84,Zaheer Khan,4.0,38,3,8.0,CSK,M. Chinnaswamy Stadium,28 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
85,Shanthakumaran Sreesanth,3.1,38,1,19.0,RR,Sawai Mansingh Stadium,21 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
86,Munaf Patel,4.0,37,0,0.0,PBKS,IS Bindra Stadium,28 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
87,Makhaya Ntini,4.0,37,0,0.0,DEC,Chidambaram,06 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
88,Irfan Pathan,4.0,37,0,0.0,MI,Wankhede Stadium,21 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
89,Jacob Oram,4.0,37,0,0.0,PBKS,IS Bindra Stadium,19 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
90,Gajendra Singh,4.0,37,1,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
91,Rohan Raje,4.0,37,1,24.0,RR,Sawai Mansingh Stadium,26 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
92,Amit Mishra,4.0,37,2,12.0,RR,Wankhede Stadium,30 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
93,Dhawal Kulkarni,4.0,37,2,12.0,PBKS,IS Bindra Stadium,25 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
94,Dwayne Bravo,4.0,37,2,12.0,CSK,Wankhede Stadium,14 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
95,Albie Morkel,4.0,37,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
96,RP Singh,3.3,37,0,0.0,PBKS,IS Bindra Stadium,23 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
97,Zaheer Khan,3.0,37,0,0.0,DC,M. Chinnaswamy Stadium,19 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
98,Nuwan Zoysa,3.0,37,0,0.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
99,Siddharth Trivedi,3.0,37,0,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
100,Shane Watson,4.0,36,0,0.0,KKR,Eden Gardens,20 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
101,Anil Kumble,4.0,36,0,0.0,PBKS,IS Bindra Stadium,12 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
102,David Hussey,4.0,36,0,0.0,PBKS,Eden Gardens,25 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
103,Jacques Kallis,4.0,36,0,0.0,CSK,M. Chinnaswamy Stadium,28 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
104,James Hopes,4.0,36,0,0.0,CSK,Chidambaram,10 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
105,Dilhara Fernando,4.0,36,1,24.0,PBKS,Wankhede Stadium,21 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
106,Manpreet Gony,4.0,36,1,24.0,DC,Arun Jaitley Stadium,08 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
107,Lakshmipathy Balaji,4.0,36,1,24.0,KKR,Eden Gardens,18 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
108,Chaminda Vaas,4.0,36,1,24.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
109,Sanjay Bangar,4.0,36,1,24.0,CSK,Chidambaram,06 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
110,Munaf Patel,4.0,36,1,24.0,PBKS,Sawai Mansingh Stadium,21 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
111,Scott Styris,4.0,36,1,24.0,PBKS,IS Bindra Stadium,23 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
112,Harbhajan Singh,4.0,36,2,12.0,RCB,Wankhede Stadium,20 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
113,Piyush Chawla,4.0,36,2,12.0,KKR,Eden Gardens,25 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
114,MF Maharoof,4.0,36,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
115,Yo Mahesh,4.0,36,4,6.0,MI,Arun Jaitley Stadium,24 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
116,RP Singh,3.5,36,0,0.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
117,Irfan Pathan,3.4,36,0,0.0,KKR,Eden Gardens,25 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
118,Anil Kumble,3.2,36,0,0.0,PBKS,M. Chinnaswamy Stadium,05 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
119,Dwayne Bravo,3.0,36,0,0.0,CSK,Chidambaram,23 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
120,Praveen Kumar,3.0,36,1,18.0,KKR,Eden Gardens,08 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
121,Chaminda Vaas,3.0,36,1,18.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
122,Piyush Chawla,3.0,36,1,18.0,CSK,Chidambaram,10 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
123,Sanath Jayasuriya,4.0,35,0,0.0,DC,Arun Jaitley Stadium,24 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
124,Zaheer Khan,4.0,35,0,0.0,PBKS,IS Bindra Stadium,12 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
125,Daniel Vettori,4.0,35,1,24.0,RR,Arun Jaitley Stadium,19 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
126,Jacques Kallis,4.0,35,1,24.0,DEC,M. Chinnaswamy Stadium,03 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
127,Vikram Singh,4.0,35,1,24.0,CSK,Chidambaram,10 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
128,Brett Lee,4.0,35,1,24.0,CSK,IS Bindra Stadium,19 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
129,Ashish Nehra,4.0,35,1,24.0,CSK,Chidambaram,23 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
130,Yo Mahesh,4.0,35,1,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
131,Brett Lee,4.0,35,1,24.0,RR,Sawai Mansingh Stadium,21 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
132,Shanthakumaran Sreesanth,4.0,35,2,12.0,MI,Wankhede Stadium,21 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
133,Lakshmipathy Balaji,4.0,35,2,12.0,DC,Arun Jaitley Stadium,08 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
134,Albie Morkel,4.0,35,2,12.0,DC,Arun Jaitley Stadium,08 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
135,Albie Morkel,4.0,35,2,12.0,RR,Chidambaram,24 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
136,Shane Warne,4.0,35,2,12.0,CSK,Chidambaram,24 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
137,RP Singh,4.0,35,3,8.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
138,Piyush Chawla,4.0,35,3,8.0,RR,IS Bindra Stadium,28 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
139,James Hopes,3.0,35,0,0.0,KKR,IS Bindra Stadium,03 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
140,Shanthakumaran Sreesanth,3.0,35,0,0.0,CSK,IS Bindra Stadium,19 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
141,Palani Amarnath,3.0,35,0,0.0,DC,Arun Jaitley Stadium,08 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
142,Palani Amarnath,3.0,35,1,18.0,PBKS,Chidambaram,10 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
143,Joginder Sharma,3.0,35,1,18.0,DC,Chidambaram,02 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
144,David Hussey,3.0,35,1,18.0,DEC,Eden Gardens,20 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
145,Yo Mahesh,2.1,35,0,0.0,RR,Sawai Mansingh Stadium,11 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
146,Andrew Symonds,2.0,35,0,0.0,DC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
147,Balachandra Akhil,4.0,34,0,0.0,CSK,M. Chinnaswamy Stadium,28 April 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
148,Shane Warne,4.0,34,0,0.0,CSK,DY Patil Stadium,01 June 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
149,Vikram Singh,4.0,34,0,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
150,Mashrafe Mortaza,4.0,58,0,0.0,DEC,New Wanderers Stadium,16 May 2009,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
151,Chaminda Vaas,4.0,52,2,12.0,DC,Kingsmead,13 May 2009,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
152,Jacques Kallis,4.0,51,1,24.0,PBKS,Kingsmead,24 April 2009,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
153,Andrew Flintoff,4.0,50,0,0.0,DC,Kingsmead,23 April 2009,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
154,RP Singh,4.0,47,1,24.0,RCB,Supersport Park,21 May 2009,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
155,Praveen Kumar,4.0,45,0,0.0,DEC,Supersport Park,21 May 2009,All,Most Runs Conceded Per Innings,Most Runs Conceded Per Innings All Seasons Combine.csv
