POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date,Year,Metric,Source_File
1,Sohail Tanvir,4.0,10,3,0.0,18,8.0,RCB,Sawai Mansingh Stadium,17 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
2,Dale Steyn,4.0,28,2,0.0,18,12.0,CSK,Chidambaram,21 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
3,Brett Lee,4.0,9,1,0.0,17,24.0,MI,IS Bindra Stadium,25 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
4,Shaun Pollock,4.0,9,1,1.0,17,24.0,CSK,Wankhede Stadium,14 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
5,Irfan Pathan,4.0,10,1,0.0,17,24.0,RR,IS Bindra Stadium,28 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
6,Shaun Pollock,4.0,12,3,0.0,17,8.0,KKR,Wankhede Stadium,16 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
7,Dale Steyn,4.0,14,1,0.0,17,24.0,MI,M. Chinnaswamy Stadium,28 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
8,Shanthakumaran Sreesanth,4.0,16,2,0.0,17,12.0,RCB,M. Chinnaswamy Stadium,05 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
9,Shane Watson,4.0,19,1,0.0,17,24.0,CSK,Sawai Mansingh Stadium,04 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
10,Vinay Kumar,4.0,27,3,0.0,17,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
11,Glenn McGrath,4.0,12,0,0.0,16,0.0,RR,Sawai Mansingh Stadium,11 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
12,Sohail Tanvir,4.0,14,6,0.0,16,4.0,CSK,Sawai Mansingh Stadium,04 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
13,Manpreet Gony,4.0,14,2,1.0,16,12.0,PBKS,Wankhede Stadium,31 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
14,Glenn McGrath,4.0,15,2,0.0,16,12.0,RCB,M. Chinnaswamy Stadium,19 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
15,Munaf Patel,4.0,17,3,0.0,16,8.0,DC,Wankhede Stadium,30 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
16,Dilhara Fernando,4.0,18,4,0.0,16,6.0,RCB,M. Chinnaswamy Stadium,28 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
17,Mohammad Asif,4.0,19,2,0.0,16,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
18,Glenn McGrath,4.0,21,1,1.0,16,24.0,RR,Arun Jaitley Stadium,19 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
19,Ashok Dinda,4.0,12,1,0.0,15,24.0,MI,Eden Gardens,29 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
20,Sohail Tanvir,4.0,14,4,0.0,15,6.0,MI,Sawai Mansingh Stadium,26 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
21,Shaun Pollock,4.0,16,2,0.0,15,12.0,DC,DY Patil Stadium,04 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
22,Piyush Chawla,4.0,16,2,0.0,15,12.0,MI,IS Bindra Stadium,25 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
23,Irfan Pathan,4.0,18,2,0.0,15,12.0,KKR,IS Bindra Stadium,03 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
24,Irfan Pathan,4.0,19,2,1.0,15,12.0,MI,IS Bindra Stadium,25 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
25,Shane Watson,4.0,20,2,0.0,15,12.0,RCB,M. Chinnaswamy Stadium,26 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
26,Glenn McGrath,4.0,22,0,1.0,15,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
27,Ajit Agarkar,4.0,25,3,0.0,15,8.0,RCB,M. Chinnaswamy Stadium,18 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
28,Praveen Kumar,4.0,26,1,0.0,15,24.0,CSK,Chidambaram,21 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
29,Mohammad Hafeez,4.0,8,1,0.0,14,24.0,DEC,Eden Gardens,20 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
30,Ishant Sharma,4.0,9,2,0.0,14,12.0,RCB,M. Chinnaswamy Stadium,18 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
31,Muttiah Muralitharan,4.0,12,0,0.0,14,0.0,KKR,Chidambaram,26 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
32,Sanath Jayasuriya,4.0,14,3,1.0,14,8.0,KKR,Eden Gardens,29 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
33,RP Singh,4.0,15,2,1.0,14,12.0,MI,DY Patil Stadium,27 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
34,Irfan Pathan,3.2,13,1,0.0,14,20.0,RCB,M. Chinnaswamy Stadium,05 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
35,Dale Steyn,4.0,16,0,0.0,14,0.0,PBKS,M. Chinnaswamy Stadium,05 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
36,Manpreet Gony,4.0,18,1,1.0,14,24.0,MI,Chidambaram,23 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
37,Murali Kartik,3.4,17,3,0.0,14,7.33,DEC,Eden Gardens,20 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
38,Scott Styris,4.0,19,0,0.0,14,0.0,KKR,Eden Gardens,20 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
39,Makhaya Ntini,4.0,21,4,0.0,14,6.0,KKR,Eden Gardens,18 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
40,Munaf Patel,4.0,22,2,1.0,14,12.0,KKR,Eden Gardens,20 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
41,Makhaya Ntini,4.0,23,2,0.0,14,12.0,PBKS,Wankhede Stadium,31 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
42,Shane Warne,4.0,23,1,1.0,14,24.0,RCB,M. Chinnaswamy Stadium,26 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
43,Zaheer Khan,4.0,24,1,0.0,14,24.0,RR,M. Chinnaswamy Stadium,26 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
44,Manpreet Gony,4.0,11,2,1.0,13,12.0,RCB,Chidambaram,21 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
45,Anil Kumble,4.0,14,3,0.0,13,8.0,CSK,Chidambaram,21 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
46,Jacques Kallis,4.0,15,0,0.0,13,0.0,CSK,Chidambaram,21 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
47,Sohail Tanvir,3.1,13,0,0.0,13,0.0,MI,DY Patil Stadium,07 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
48,Zaheer Khan,4.0,17,2,0.0,13,12.0,MI,Wankhede Stadium,20 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
49,Manpreet Gony,4.0,17,0,0.0,13,0.0,KKR,Eden Gardens,18 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
50,Muttiah Muralitharan,4.0,20,1,0.0,13,24.0,RR,Sawai Mansingh Stadium,04 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
51,Dale Steyn,4.0,20,0,0.0,13,0.0,DEC,M. Chinnaswamy Stadium,03 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
52,Praveen Kumar,4.0,22,2,1.0,13,12.0,PBKS,M. Chinnaswamy Stadium,05 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
53,MF Maharoof,4.0,22,1,0.0,13,24.0,RR,Sawai Mansingh Stadium,11 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
54,Piyush Chawla,4.0,22,1,0.0,13,24.0,MI,Wankhede Stadium,21 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
55,Umar Gul,4.0,23,4,0.0,13,6.0,PBKS,Eden Gardens,25 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
56,Ajit Agarkar,4.0,23,1,0.0,13,24.0,MI,Eden Gardens,29 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
57,Irfan Pathan,4.0,24,1,0.0,13,24.0,CSK,Wankhede Stadium,31 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
58,RP Singh,4.0,24,1,0.0,13,24.0,RR,Sawai Mansingh Stadium,09 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
59,Shanthakumaran Sreesanth,4.0,25,2,0.0,13,12.0,KKR,IS Bindra Stadium,03 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
60,Sanjay Bangar,3.0,19,0,0.0,13,0.0,KKR,Eden Gardens,20 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
61,Albie Morkel,4.0,26,1,0.0,13,24.0,DEC,Chidambaram,06 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
62,Yo Mahesh,4.0,31,1,0.0,13,24.0,CSK,Chidambaram,02 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
63,Sohail Tanvir,4.0,31,0,0.0,13,0.0,RCB,M. Chinnaswamy Stadium,26 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
64,Shane Watson,4.0,32,1,0.0,13,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
65,Dhawal Kulkarni,4.0,33,3,0.0,13,8.0,CSK,Wankhede Stadium,14 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
66,Ishant Sharma,3.4,33,1,0.0,13,22.0,MI,Eden Gardens,29 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
67,Dominic Thornely,3.0,7,2,0.0,12,9.0,KKR,Wankhede Stadium,16 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
68,Ishant Sharma,3.0,9,1,1.0,12,18.0,DEC,Eden Gardens,20 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
69,Shane Watson,3.0,10,3,0.0,12,6.0,DC,Wankhede Stadium,30 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
70,Shoaib Akhtar,3.0,11,4,0.0,12,4.5,DC,Eden Gardens,13 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
71,Munaf Patel,4.0,16,2,0.0,12,12.0,CSK,Sawai Mansingh Stadium,04 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
72,Rajat Bhatia,4.0,17,2,0.0,12,12.0,RR,Arun Jaitley Stadium,19 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
73,Ashish Nehra,3.0,13,3,0.0,12,6.0,RR,DY Patil Stadium,07 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
74,Dwayne Bravo,3.0,13,2,1.0,12,9.0,KKR,Wankhede Stadium,16 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
75,Anil Kumble,4.0,18,2,0.0,12,12.0,DC,M. Chinnaswamy Stadium,19 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
76,Dale Steyn,4.0,19,2,0.0,12,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
77,Muttiah Muralitharan,4.0,19,1,0.0,12,24.0,PBKS,Wankhede Stadium,31 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
78,Ramesh Powar,4.0,20,1,0.0,12,24.0,DEC,IS Bindra Stadium,23 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
79,Munaf Patel,4.0,21,2,0.0,12,12.0,RCB,Sawai Mansingh Stadium,17 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
80,Manpreet Gony,4.0,21,1,0.0,12,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
81,Lakshmipathy Balaji,4.0,24,5,0.0,12,4.8,PBKS,Chidambaram,10 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
82,Dwayne Bravo,4.0,24,3,0.0,12,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
83,Makhaya Ntini,4.0,24,1,0.0,12,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
84,Piyush Chawla,4.0,25,3,0.0,12,8.0,RCB,M. Chinnaswamy Stadium,05 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
85,Siddharth Trivedi,4.0,25,2,0.0,12,12.0,PBKS,Sawai Mansingh Stadium,21 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
86,Yo Mahesh,4.0,25,0,0.0,12,0.0,RCB,M. Chinnaswamy Stadium,19 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
87,Sohail Tanvir,4.0,26,3,0.0,12,8.0,KKR,Eden Gardens,20 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
88,Albie Morkel,4.0,27,2,0.0,12,12.0,PBKS,Wankhede Stadium,31 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
89,Makhaya Ntini,4.0,27,0,0.0,12,0.0,RCB,Chidambaram,21 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
90,Zaheer Khan,4.0,29,2,0.0,12,12.0,PBKS,M. Chinnaswamy Stadium,05 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
91,Siddharth Trivedi,4.0,29,1,0.0,12,24.0,RCB,M. Chinnaswamy Stadium,26 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
92,Piyush Chawla,4.0,29,0,0.0,12,0.0,DC,IS Bindra Stadium,27 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
93,Shanthakumaran Sreesanth,4.0,31,2,0.0,12,12.0,MI,IS Bindra Stadium,25 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
94,Piyush Chawla,4.0,31,0,0.0,12,0.0,DEC,IS Bindra Stadium,23 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
95,RP Singh,4.0,32,0,0.0,12,0.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
96,Ashok Dinda,4.0,33,3,0.0,12,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
97,RP Singh,4.0,35,3,0.0,12,8.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
98,Shanthakumaran Sreesanth,4.0,35,2,0.0,12,12.0,MI,Wankhede Stadium,21 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
99,Brett Lee,4.0,35,1,0.0,12,24.0,CSK,IS Bindra Stadium,19 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
100,Ashish Nehra,4.0,35,1,0.0,12,24.0,CSK,Chidambaram,23 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
101,Brett Lee,4.0,35,1,0.0,12,24.0,RR,Sawai Mansingh Stadium,21 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
102,Munaf Patel,4.0,36,1,0.0,12,24.0,PBKS,Sawai Mansingh Stadium,21 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
103,Munaf Patel,4.0,37,0,0.0,12,0.0,PBKS,IS Bindra Stadium,28 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
104,Glenn McGrath,4.0,38,0,0.0,12,0.0,RR,Wankhede Stadium,30 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
105,Shane Watson,4.0,39,0,0.0,12,0.0,PBKS,Sawai Mansingh Stadium,21 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
106,Chaminda Vaas,3.0,9,2,0.0,11,9.0,KKR,Eden Gardens,20 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
107,MF Maharoof,4.0,13,2,0.0,11,12.0,RCB,M. Chinnaswamy Stadium,19 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
108,Amit Mishra,4.0,17,5,0.0,11,4.8,DEC,Arun Jaitley Stadium,15 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
109,Pragyan Ojha,4.0,18,2,0.0,11,12.0,KKR,Eden Gardens,20 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
110,Shane Warne,4.0,19,3,0.0,11,8.0,PBKS,Sawai Mansingh Stadium,21 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
111,Muttiah Muralitharan,4.0,19,1,0.0,11,24.0,RCB,Chidambaram,21 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
112,Shane Warne,4.0,21,2,0.0,11,12.0,DC,Wankhede Stadium,30 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
113,Shane Watson,4.0,21,2,0.0,11,12.0,DC,Sawai Mansingh Stadium,11 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
114,Sourav Ganguly,4.0,21,2,0.0,11,12.0,RCB,M. Chinnaswamy Stadium,18 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
115,Irfan Pathan,4.0,21,1,0.0,11,24.0,RR,Sawai Mansingh Stadium,21 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
116,Glenn McGrath,4.0,21,1,0.0,11,24.0,CSK,Chidambaram,02 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
117,Makhaya Ntini,4.0,21,0,1.0,11,0.0,RR,DY Patil Stadium,01 June 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
118,Paidikalva Vijaykumar,3.0,17,1,0.0,11,18.0,CSK,Chidambaram,06 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
119,Ashish Nehra,3.0,17,0,0.0,11,0.0,KKR,Wankhede Stadium,16 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
120,Praveen Kumar,4.0,23,3,0.0,11,8.0,DEC,M. Chinnaswamy Stadium,03 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
121,Muttiah Muralitharan,4.0,24,1,0.0,11,24.0,DEC,Chidambaram,06 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
122,Paidikalva Vijaykumar,4.0,24,1,0.0,11,24.0,DC,Arun Jaitley Stadium,15 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
123,Dwayne Bravo,4.0,25,1,0.0,11,24.0,KKR,Eden Gardens,29 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
124,Dwayne Smith,4.0,26,3,0.0,11,8.0,RCB,M. Chinnaswamy Stadium,28 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
125,Ishant Sharma,4.0,26,1,0.0,11,24.0,RR,Sawai Mansingh Stadium,01 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
126,Shaun Pollock,4.0,27,2,0.0,11,12.0,KKR,Eden Gardens,29 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
127,Dilhara Fernando,4.0,27,2,0.0,11,12.0,RR,Sawai Mansingh Stadium,26 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
128,MF Maharoof,4.0,27,1,0.0,11,24.0,MI,Arun Jaitley Stadium,24 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
129,Vikram Singh,4.0,28,2,0.0,11,12.0,KKR,Eden Gardens,25 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
130,Pradeep Sangwan,4.0,29,1,0.0,11,24.0,KKR,Eden Gardens,13 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
131,Praveen Kumar,4.0,29,1,0.0,11,24.0,MI,Wankhede Stadium,20 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
132,Nuwan Zoysa,4.0,30,1,0.0,11,24.0,MI,DY Patil Stadium,27 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
133,Ashok Dinda,4.0,30,0,0.0,11,0.0,RR,Sawai Mansingh Stadium,01 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
134,Ashish Nehra,4.0,31,0,0.0,11,0.0,CSK,Wankhede Stadium,14 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
135,Ashok Dinda,3.0,24,1,0.0,11,18.0,PBKS,IS Bindra Stadium,03 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
136,Sohail Tanvir,4.0,33,3,0.0,11,8.0,CSK,Chidambaram,24 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
137,Ashok Dinda,3.0,25,0,0.0,11,0.0,CSK,Chidambaram,26 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
138,Umar Gul,3.3,30,2,1.0,11,10.5,RR,Eden Gardens,20 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
139,Yo Mahesh,4.0,36,4,0.0,11,6.0,MI,Arun Jaitley Stadium,24 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
140,Irfan Pathan,4.0,37,0,0.0,11,0.0,MI,Wankhede Stadium,21 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
141,Zaheer Khan,4.0,38,3,0.0,11,8.0,CSK,M. Chinnaswamy Stadium,28 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
142,Manpreet Gony,4.0,38,1,0.0,11,24.0,PBKS,Chidambaram,10 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
143,Dale Steyn,4.0,40,0,0.0,11,0.0,CSK,M. Chinnaswamy Stadium,28 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
144,Sourav Ganguly,3.0,7,1,0.0,10,18.0,RCB,Eden Gardens,08 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
145,Siddharth Trivedi,3.0,8,1,0.0,10,18.0,DEC,Sawai Mansingh Stadium,09 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
146,MF Maharoof,4.0,11,2,0.0,10,12.0,RR,Arun Jaitley Stadium,19 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
147,Yusuf Pathan,3.0,9,0,0.0,10,0.0,MI,Sawai Mansingh Stadium,26 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
148,Vikram Singh,4.0,15,1,0.0,10,24.0,RCB,IS Bindra Stadium,12 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
149,RP Singh,3.0,12,2,0.0,10,9.0,CSK,Chidambaram,06 May 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
150,Shaun Pollock,4.0,17,0,0.0,10,0.0,RCB,Wankhede Stadium,20 April 2008,2008,Most Dot Balls Innings,Most Dot Balls Innings - 2008.csv
1,Munaf Patel,4.0,14,2,0.0,19,12.0,KKR,Kingsmead,20 May 2009,2009,Most Dot Balls Innings,Most Dot Balls Innings - 2009.csv
2,Ashok Dinda,4.0,12,0,0.0,17,0.0,RR,Kingsmead,20 May 2009,2009,Most Dot Balls Innings,Most Dot Balls Innings - 2009.csv
3,Brett Lee,4.0,15,3,1.0,17,8.0,DC,OUTsurance Oval,15 May 2009,2009,Most Dot Balls Innings,Most Dot Balls Innings - 2009.csv
4,Muttiah Muralitharan,4.0,8,2,0.0,16,12.0,PBKS,Kingsmead,20 May 2009,2009,Most Dot Balls Innings,Most Dot Balls Innings - 2009.csv
5,Muttiah Muralitharan,4.0,11,3,1.0,16,8.0,RCB,St George's Park,20 April 2009,2009,Most Dot Balls Innings,Most Dot Balls Innings - 2009.csv
6,Albie Morkel,4.0,13,2,0.0,16,12.0,RCB,Kingsmead,14 May 2009,2009,Most Dot Balls Innings,Most Dot Balls Innings - 2009.csv
7,Charl Langeveldt,4.0,15,3,0.0,16,8.0,RR,Kingsmead,20 May 2009,2009,Most Dot Balls Innings,Most Dot Balls Innings - 2009.csv
8,Lasith Malinga,4.0,19,3,1.0,16,8.0,DEC,Kingsmead,25 April 2009,2009,Most Dot Balls Innings,Most Dot Balls Innings - 2009.csv
9,Ishant Sharma,4.0,29,1,0.0,16,24.0,KKR,St George's Park,27 April 2009,2009,Most Dot Balls Innings,Most Dot Balls Innings - 2009.csv
10,Ishant Sharma,4.0,29,1,0.0,16,24.0,MI,St George's Park,27 April 2009,2009,Most Dot Balls Innings,Most Dot Balls Innings - 2009.csv
11,Amit Singh,4.0,9,3,0.0,15,8.0,PBKS,Kingsmead,05 May 2009,2009,Most Dot Balls Innings,Most Dot Balls Innings - 2009.csv
12,Harbhajan Singh,4.0,9,1,0.0,15,24.0,PBKS,Supersport Park,12 May 2009,2009,Most Dot Balls Innings,Most Dot Balls Innings - 2009.csv
13,Praveen Kumar,3.0,7,2,0.0,15,9.0,RR,Newlands,18 April 2009,2009,Most Dot Balls Innings,Most Dot Balls Innings - 2009.csv
