Unnamed: 0,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
114,Swapnil Asnodkar,32,30,106.66,5,0,CSK,Sawai Mansingh Stadium,04 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
115,Robin Uthappa,37,37,100.0,5,0,KKR,Eden Gardens,29 April 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
116,Virat Kohli,34,36,94.44,5,0,PBKS,M. Chinnaswamy Stadium,05 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
117,Piyush Chawla,24,11,218.18,4,0,RR,Sawai Mansingh Stadium,21 April 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
118,Yusuf Pathan,61,28,217.85,4,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
119,Mark Boucher,39,19,205.26,4,2,MI,Wankhede Stadium,20 April 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
120,David Hussey,57,29,196.55,4,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
121,Kamran Akmal,53,28,189.28,4,3,CSK,Chidambaram,24 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
122,MS Dhoni,30,16,187.5,4,1,MI,Chidambaram,23 April 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
123,Laxmi Ratan Shukla,40,22,181.81,4,2,MI,Eden Gardens,29 April 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
124,Sanath Jayasuriya,20,11,181.81,4,0,CSK,Chidambaram,23 April 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
125,Shane Watson,52,29,179.31,4,3,DC,Wankhede Stadium,30 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
126,Dinesh Karthik,56,32,175.0,4,3,MI,Arun Jaitley Stadium,24 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
127,Venugopal Rao,71,42,169.04,4,6,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
128,Robin Uthappa,34,21,161.9,4,1,RR,DY Patil Stadium,07 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
129,Suresh Raina,55,34,161.76,4,4,PBKS,Wankhede Stadium,31 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
130,Shane Watson,32,20,160.0,4,1,MI,DY Patil Stadium,07 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
131,David Hussey,71,46,154.34,4,4,PBKS,IS Bindra Stadium,03 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
132,MF Maharoof,20,13,153.84,4,0,MI,Arun Jaitley Stadium,24 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
133,Suresh Raina,26,17,152.94,4,0,PBKS,Chidambaram,10 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
134,Shikhar Dhawan,50,33,151.51,4,3,RCB,Arun Jaitley Stadium,30 April 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
135,Venugopal Rao,57,38,150.0,4,3,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
136,James Hopes,18,12,150.0,4,0,KKR,IS Bindra Stadium,03 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
137,MS Dhoni,37,25,148.0,4,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
138,Matthew Hayden,25,17,147.05,4,1,PBKS,IS Bindra Stadium,19 April 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
139,Sanath Jayasuriya,54,37,145.94,4,4,RCB,M. Chinnaswamy Stadium,28 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
140,Dwaraka Ravi Teja,40,28,142.85,4,1,CSK,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
141,VVS Laxman,37,26,142.3,4,1,MI,DY Patil Stadium,27 April 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
142,Shane Watson,21,15,140.0,4,0,DC,Arun Jaitley Stadium,19 April 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
143,Swapnil Asnodkar,28,20,140.0,4,0,CSK,DY Patil Stadium,01 June 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
144,Gautam Gambhir,31,23,134.78,4,0,RR,Sawai Mansingh Stadium,11 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
145,Ramesh Powar,28,21,133.33,4,1,CSK,Wankhede Stadium,31 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
146,Sourav Ganguly,51,39,130.76,4,2,RR,Sawai Mansingh Stadium,01 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
147,Dinesh Salunkhe,26,20,130.0,4,0,DC,Arun Jaitley Stadium,19 April 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
148,Albie Morkel,42,33,127.27,4,1,RR,Sawai Mansingh Stadium,04 May 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
149,Laxmi Ratan Shukla,42,33,127.27,4,1,CSK,Chidambaram,26 April 2008,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
150,Graeme Smith,77,44,175.0,12,1,PBKS,Kingsmead,05 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
151,Brendon McCullum,81,48,168.75,11,3,CSK,Supersport Park,18 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
152,Adam Gilchrist,85,35,242.85,10,5,DC,Supersport Park,22 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
153,Suresh Raina,98,55,178.18,10,5,RR,Supersport Park,30 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
154,Brad Hodge,70,43,162.79,10,1,PBKS,St George's Park,03 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
155,Manish Pandey,114,73,156.16,10,4,DEC,Supersport Park,21 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
156,Brendon McCullum,84,64,131.25,10,2,RCB,Supersport Park,12 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
157,Matthew Hayden,65,35,185.71,9,2,RCB,St George's Park,20 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
158,Subramaniam Badrinath,59,41,143.9,9,1,RR,De Beers Diamond Oval,09 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
159,Robin Uthappa,66,42,157.14,8,2,MI,New Wanderers Stadium,03 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
160,Matthew Hayden,89,58,153.44,8,6,PBKS,Supersport Park,07 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
161,Matthew Hayden,49,35,140.0,8,0,DEC,Kingsmead,27 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
162,Rahul Dravid,66,48,137.5,8,1,RR,Newlands,18 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
163,Sachin Tendulkar,46,41,112.19,8,0,DC,Supersport Park,21 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
164,Ross Taylor,81,33,245.45,7,5,KKR,Supersport Park,12 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
165,MS Dhoni,56,27,207.4,7,2,PBKS,Supersport Park,07 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
166,Virat Kohli,50,32,156.25,7,0,DEC,Newlands,22 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
167,Manish Pandey,48,35,137.14,7,0,CSK,New Wanderers Stadium,23 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
168,Parthiv Patel,36,27,133.33,7,0,RCB,New Wanderers Stadium,23 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
169,Mahela Jayawardena,52,41,126.82,7,0,KKR,St George's Park,03 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
170,Sachin Tendulkar,59,49,120.4,7,0,CSK,Newlands,18 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
171,Dwayne Bravo,70,59,118.64,7,3,PBKS,Supersport Park,12 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
172,Kumar Sangakkara,60,51,117.64,7,1,RR,Newlands,26 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
173,JP Duminy,52,48,108.33,7,0,DEC,Supersport Park,06 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
174,Yusuf Pathan,42,21,200.0,6,2,KKR,Newlands,23 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
175,Adam Gilchrist,71,45,157.77,6,5,RCB,Newlands,22 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
176,MS Dhoni,58,37,156.75,6,1,DEC,Buffalo Park,04 May 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
177,Jesse Ryder,32,21,152.38,6,0,PBKS,Kingsmead,24 April 2009,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
