Unnamed: 0,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
423,Matthew Hayden,20,12,166.66,4,0,MI,Brabourne Stadium,25 March 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
424,Virat Kohli,58,35,165.71,4,4,DEC,M. Chinnaswamy Stadium,08 April 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
425,Virat Kohli,38,23,165.21,4,1,DC,M. Chinnaswamy Stadium,25 March 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
426,Saurabh Tiwary,61,37,164.86,4,3,DC,Arun Jaitley Stadium,17 March 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
427,Irfan Pathan,44,27,162.96,4,1,CSK,HPCA Stadium,18 April 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
428,Virender Sehwag,26,16,162.5,4,0,MI,Arun Jaitley Stadium,17 March 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
429,Virat Kohli,42,26,161.53,4,1,PBKS,IS Bindra Stadium,02 April 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
430,Saurabh Tiwary,53,33,160.6,4,2,RR,Brabourne Stadium,13 March 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
431,Virat Kohli,37,24,154.16,4,1,MI,M. Chinnaswamy Stadium,17 April 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
432,Yuvraj Singh,43,28,153.57,4,2,CSK,Chidambaram,21 March 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
433,Murali Vijay,42,28,150.0,4,2,RR,Narendra Modi Stadium,28 March 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
434,Manvinder Bisla,20,14,142.85,4,0,RR,Sawai Mansingh Stadium,07 April 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
435,Matthew Hayden,33,24,137.5,4,2,PBKS,Chidambaram,21 March 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
436,Subramaniam Badrinath,30,22,136.36,4,0,MI,Chidambaram,06 April 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
437,Manish Pandey,39,29,134.48,4,1,DC,M. Chinnaswamy Stadium,25 March 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
438,Murali Vijay,50,40,125.0,4,2,KKR,Chidambaram,13 April 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
439,Tirumalasetti Suman,55,44,125.0,4,2,CSK,Vidarbha Cricket Association Stadium,10 April 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
440,Saurabh Tiwary,46,37,124.32,4,1,KKR,Eden Gardens,19 April 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
441,Faiz Fazal,36,29,124.13,4,0,DEC,Vidarbha Cricket Association Stadium,05 April 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
442,Suresh Raina,52,42,123.8,4,2,DEC,Vidarbha Cricket Association Stadium,10 April 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
443,Adrian Barath,33,27,122.22,4,1,MI,IS Bindra Stadium,09 April 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
444,Naman Ojha,44,37,118.91,4,1,PBKS,Sawai Mansingh Stadium,07 April 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
445,Graeme Smith,26,22,118.18,4,0,MI,Brabourne Stadium,13 March 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
446,Sourav Ganguly,42,36,116.66,4,2,MI,Eden Gardens,19 April 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
447,Cheteshwar Pujara,29,25,116.0,4,0,RR,Narendra Modi Stadium,20 March 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
448,Sachin Tendulkar,25,22,113.63,4,0,RCB,Brabourne Stadium,20 March 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
449,Jacques Kallis,19,17,111.76,4,0,CSK,M. Chinnaswamy Stadium,23 March 2010,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
450,Paul Valthaty,120,63,190.47,19,2,CSK,IS Bindra Stadium,13 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
451,Shikhar Dhawan,95,57,166.66,14,1,PBKS,HPCA Stadium,21 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
452,Virender Sehwag,119,56,212.5,13,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
453,Sachin Tendulkar,100,66,151.51,12,3,KTK,Wankhede Stadium,15 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
454,Gautam Gambhir,75,44,170.45,11,1,RR,Sawai Mansingh Stadium,15 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
455,Michael Hussey,83,56,148.21,11,1,RCB,Chidambaram,16 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
456,Chris Gayle,107,49,218.36,10,9,PBKS,M. Chinnaswamy Stadium,06 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
457,Chris Gayle,102,55,185.45,10,7,KKR,Eden Gardens,22 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
458,Kumar Sangakkara,65,47,138.29,10,0,KTK,Jawaharlal Nehru Stadium,27 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
459,Brendon McCullum,81,60,135.0,10,2,MI,Wankhede Stadium,15 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
460,Rahul Dravid,66,51,129.41,10,0,CSK,Chidambaram,04 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
461,James Hopes,55,44,125.0,10,0,MI,Wankhede Stadium,07 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
462,Shaun Marsh,95,46,206.52,9,6,DC,Arun Jaitley Stadium,23 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
463,Chris Gayle,89,47,189.36,9,5,MI,Chidambaram,27 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
464,Shane Watson,89,47,189.36,9,6,MI,Wankhede Stadium,20 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
465,Mahela Jayawardena,56,36,155.55,9,0,MI,Wankhede Stadium,15 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
466,Ambati Rayudu,63,50,126.0,9,0,RCB,M. Chinnaswamy Stadium,12 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
467,Virender Sehwag,77,35,220.0,8,4,PBKS,Arun Jaitley Stadium,23 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
468,Adam Gilchrist,106,55,192.72,8,9,RCB,HPCA Stadium,17 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
469,Rohit Sharma,87,48,181.25,8,5,CSK,Wankhede Stadium,22 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
470,Virender Sehwag,80,47,170.21,8,5,KTK,Jawaharlal Nehru Stadium,30 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
471,Tillakaratne Dilshan,52,31,167.74,8,1,KTK,M. Chinnaswamy Stadium,08 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
472,Aiden Blizzard,37,23,160.86,8,0,DC,Wankhede Stadium,07 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
473,Paul Valthaty,75,47,159.57,8,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
474,Tillakaratne Dilshan,38,24,158.33,8,0,RR,Sawai Mansingh Stadium,11 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
475,Michael Hussey,46,30,153.33,8,0,RR,Sawai Mansingh Stadium,09 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
476,Sunny Sohal,62,41,151.21,8,1,DC,Arun Jaitley Stadium,19 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
477,Virat Kohli,56,38,147.36,8,2,DC,Arun Jaitley Stadium,26 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
478,Mahela Jayawardena,76,52,146.15,8,2,PBKS,Holkar Cricket Stadium,13 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
479,Michael Hussey,79,55,143.63,8,1,RR,Chidambaram,04 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
480,Johan Botha,67,47,142.55,8,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
481,Kumar Sangakkara,49,35,140.0,8,1,DC,Arun Jaitley Stadium,19 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
482,Ambati Rayudu,51,37,137.83,8,1,PBKS,Wankhede Stadium,02 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
483,Shaun Marsh,61,47,129.78,8,0,MI,Wankhede Stadium,02 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
484,Eoin Morgan,66,51,129.41,8,2,KTK,Jawaharlal Nehru Stadium,05 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
485,Adam Gilchrist,42,33,127.27,8,1,DC,Arun Jaitley Stadium,23 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
486,Kumar Sangakkara,44,36,122.22,8,0,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
487,Subramaniam Badrinath,66,56,117.85,8,0,PBKS,IS Bindra Stadium,13 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
488,Dinesh Karthik,69,33,209.09,7,5,KTK,Holkar Cricket Stadium,13 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
489,Aiden Blizzard,51,30,170.0,7,2,KKR,Wankhede Stadium,25 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
490,Robin Uthappa,35,21,166.66,7,0,RR,Sawai Mansingh Stadium,01 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
491,Sachin Tendulkar,40,24,166.66,7,0,RCB,Chidambaram,27 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
492,Shaun Marsh,79,49,161.22,7,5,RCB,HPCA Stadium,17 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
493,David Warner,77,48,160.41,7,4,PBKS,Arun Jaitley Stadium,23 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
494,Chris Gayle,70,44,159.09,7,4,RR,Sawai Mansingh Stadium,11 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
495,Ambati Rayudu,59,39,151.28,7,2,DC,Wankhede Stadium,07 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
496,Subramaniam Badrinath,71,48,147.91,7,2,MI,Wankhede Stadium,22 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
497,Ajinkya Rahane,52,36,144.44,7,0,CSK,Sawai Mansingh Stadium,09 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
498,Jacques Kallis,54,42,128.57,7,0,CSK,Chidambaram,08 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
499,James Hopes,54,43,125.58,7,0,RCB,Arun Jaitley Stadium,26 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
500,Paul Valthaty,62,50,124.0,7,3,DC,HPCA Stadium,15 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
501,Jacques Kallis,80,65,123.07,7,2,RR,Sawai Mansingh Stadium,15 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
502,Sachin Tendulkar,55,46,119.56,7,0,RCB,M. Chinnaswamy Stadium,12 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
503,Jacques Kallis,53,45,117.77,7,1,DEC,Eden Gardens,11 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
504,Gautam Gambhir,54,46,117.39,7,0,PWI,DY Patil Stadium,19 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
505,Chris Gayle,38,12,316.66,6,2,KKR,M. Chinnaswamy Stadium,14 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
506,Sunny Sohal,56,30,186.66,6,4,CSK,Chidambaram,01 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
507,Eoin Morgan,28,15,186.66,6,0,PBKS,Eden Gardens,30 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
508,Jesse Ryder,31,17,182.35,6,0,PBKS,DY Patil Stadium,10 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
509,Murali Vijay,74,43,172.09,6,4,PBKS,IS Bindra Stadium,13 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
510,Shaun Marsh,71,42,169.04,6,3,RR,IS Bindra Stadium,21 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
511,Suresh Raina,59,35,168.57,6,2,DEC,Chidambaram,01 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
512,David Warner,46,28,164.28,6,2,PWI,DY Patil Stadium,17 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
513,Virender Sehwag,37,23,160.86,6,0,PWI,DY Patil Stadium,17 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
514,Suresh Raina,43,27,159.25,6,0,RR,Sawai Mansingh Stadium,09 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
515,Murali Vijay,28,18,155.55,6,0,KTK,Jawaharlal Nehru Stadium,18 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
516,Subramaniam Badrinath,63,44,143.18,6,2,PWI,DY Patil Stadium,27 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
517,Ryan ten Doeschate,70,49,142.85,6,3,MI,Wankhede Stadium,25 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
518,Sachin Tendulkar,38,27,140.74,6,0,KKR,Eden Gardens,22 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
519,Adam Gilchrist,51,37,137.83,6,2,DEC,HPCA Stadium,21 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
520,Rahul Dravid,43,32,134.37,6,0,MI,Wankhede Stadium,20 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
521,Sachin Tendulkar,36,28,128.57,6,0,KKR,Wankhede Stadium,25 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
522,Subramaniam Badrinath,55,43,127.9,6,1,DC,Chidambaram,12 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
523,Michael Hussey,61,48,127.08,6,1,PWI,Chidambaram,25 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
524,Gautam Gambhir,48,38,126.31,6,0,RCB,Eden Gardens,22 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
525,Michael Hussey,41,33,124.24,6,0,MI,Wankhede Stadium,22 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
526,David Warner,54,44,122.72,6,1,RR,Sawai Mansingh Stadium,12 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
527,Tillakaratne Dilshan,38,31,122.58,6,0,KKR,Eden Gardens,22 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
528,Rahul Dravid,38,31,122.58,6,1,DC,Sawai Mansingh Stadium,12 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
529,Robin Uthappa,45,37,121.62,6,1,MI,Wankhede Stadium,20 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
530,Bharat Chipli,48,40,120.0,6,1,KKR,Eden Gardens,11 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
531,Rahul Dravid,37,31,119.35,6,0,RCB,Sawai Mansingh Stadium,11 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
532,Ryan McLaren,51,43,118.6,6,1,PWI,DY Patil Stadium,10 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
533,Manish Pandey,49,42,116.66,6,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
534,Srikkanth Anirudha,64,55,116.36,6,2,KKR,Chidambaram,08 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
535,Yuvraj Singh,35,15,233.33,5,2,PBKS,IS Bindra Stadium,08 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
536,Jesse Ryder,60,27,222.22,5,5,DC,DY Patil Stadium,17 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
537,MS Dhoni,63,31,203.22,5,4,DC,Chidambaram,12 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
538,James Franklin,45,23,195.65,5,1,KKR,Eden Gardens,22 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
539,Brendon McCullum,37,19,194.73,5,2,DC,Arun Jaitley Stadium,02 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
540,Brad Hodge,33,17,194.11,5,2,RR,Holkar Cricket Stadium,15 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
541,Travis Birt,27,15,180.0,5,0,KTK,Arun Jaitley Stadium,02 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
542,Jesse Ryder,35,20,175.0,5,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
543,Bharat Chipli,61,35,174.28,5,3,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
544,Rohit Sharma,56,34,164.7,5,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
545,Shaun Marsh,46,28,164.28,5,3,DC,HPCA Stadium,15 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
546,Shikhar Dhawan,29,18,161.11,5,0,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
547,Davy Jacobs,32,20,160.0,5,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
548,Virat Kohli,70,44,159.09,5,3,CSK,Wankhede Stadium,24 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
549,Manoj Tiwary,35,22,159.09,5,1,MI,Eden Gardens,22 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
550,Virender Sehwag,34,23,147.82,5,1,KKR,Arun Jaitley Stadium,28 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
551,AB de Villiers,65,44,147.72,5,2,CSK,Chidambaram,16 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
552,Dwaraka Ravi Teja,60,41,146.34,5,2,PBKS,HPCA Stadium,21 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
553,Shaun Marsh,42,30,140.0,5,2,KTK,Holkar Cricket Stadium,13 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
554,Virat Kohli,71,51,139.21,5,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
555,Adam Gilchrist,61,46,132.6,5,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
556,Shaun Marsh,43,34,126.47,5,0,MI,IS Bindra Stadium,10 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
557,Shikhar Dhawan,45,36,125.0,5,1,PBKS,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
558,Kumar Sangakkara,35,28,125.0,5,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
559,Suresh Raina,50,40,125.0,5,1,KTK,Jawaharlal Nehru Stadium,18 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
560,Rohit Sharma,58,47,123.4,5,1,RR,Wankhede Stadium,20 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
561,Shane Watson,32,26,123.07,5,0,CSK,Chidambaram,04 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
562,Parthiv Patel,37,31,119.35,5,0,DC,Arun Jaitley Stadium,02 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
563,Rahul Dravid,44,37,118.91,5,1,KTK,Sawai Mansingh Stadium,24 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
564,Shikhar Dhawan,25,22,113.63,5,0,MI,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
565,Michael Hussey,46,41,112.19,5,0,DEC,Chidambaram,01 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
566,Venugopal Rao,40,36,111.11,5,0,KTK,Arun Jaitley Stadium,02 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
567,Jacques Kallis,45,41,109.75,5,0,KTK,Jawaharlal Nehru Stadium,05 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
568,Mithun Manhas,35,32,109.37,5,1,PBKS,DY Patil Stadium,10 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
569,Virat Kohli,31,29,106.89,5,0,CSK,M. Chinnaswamy Stadium,22 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
570,David Warner,51,48,106.25,5,1,DEC,Arun Jaitley Stadium,19 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
571,Subramaniam Badrinath,34,32,106.25,5,0,RCB,Wankhede Stadium,24 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
572,Harbhajan Singh,30,29,103.44,5,0,KKR,Eden Gardens,22 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
573,Mayank Agarwal,34,33,103.03,5,0,CSK,Wankhede Stadium,24 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
574,Sunny Sohal,38,37,102.7,5,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
575,Sachin Tendulkar,24,24,100.0,5,0,PWI,DY Patil Stadium,04 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
576,Mahela Jayawardena,25,27,92.59,5,0,KKR,Eden Gardens,20 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
577,Amit Mishra,18,6,300.0,4,0,MI,Wankhede Stadium,14 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
578,MS Dhoni,43,20,215.0,4,2,PBKS,IS Bindra Stadium,13 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
579,Yuvraj Singh,66,32,206.25,4,5,DC,DY Patil Stadium,17 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
580,Chris Gayle,49,26,188.46,4,4,PWI,M. Chinnaswamy Stadium,29 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
581,Chris Gayle,26,14,185.71,4,1,DC,Arun Jaitley Stadium,26 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
582,Murali Vijay,95,52,182.69,4,6,RCB,Chidambaram,28 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
583,Tillakaratne Dilshan,16,9,177.77,4,0,PBKS,M. Chinnaswamy Stadium,06 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
584,Adam Gilchrist,28,16,175.0,4,1,RR,IS Bindra Stadium,21 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
585,Cheteshwar Pujara,25,15,166.66,4,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
586,Shakib Al Hasan,26,16,162.5,4,0,MI,Wankhede Stadium,25 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
587,Gautam Gambhir,29,18,161.11,4,0,DEC,Eden Gardens,11 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
588,Virat Kohli,67,42,159.52,4,4,PWI,M. Chinnaswamy Stadium,29 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
589,Jesse Ryder,19,12,158.33,4,0,CSK,DY Patil Stadium,27 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
590,Shane Watson,24,16,150.0,4,0,PBKS,IS Bindra Stadium,21 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
591,Chris Gayle,75,50,150.0,4,6,CSK,M. Chinnaswamy Stadium,22 May 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
592,Venugopal Rao,60,40,150.0,4,4,RR,Sawai Mansingh Stadium,12 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
593,Jesse Ryder,51,34,150.0,4,2,RCB,M. Chinnaswamy Stadium,29 April 2011,All,Most Fours Per Innings,Most Fours Per Innings All Seasons Combine.csv
