POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Year,Metric,Source_File
1,RP Singh,4.0,59,1,24.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
2,Palani Amarnath,4.0,57,1,24.0,MI,Chidambaram,23 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
3,Vikram Singh,4.0,56,0,0.0,MI,Wankhede Stadium,21 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
4,Munaf Patel,4.0,55,0,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
5,Munaf Patel,4.0,55,1,24.0,CSK,Chidambaram,24 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
6,Jacob Oram,4.0,53,0,0.0,MI,Chidambaram,23 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
7,James Hopes,4.0,53,1,24.0,CSK,IS Bindra Stadium,19 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
8,Mohammad Asif,4.0,51,0,0.0,DEC,Arun Jaitley Stadium,15 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
9,Pradeep Sangwan,3.0,51,0,0.0,RCB,M. Chinnaswamy Stadium,19 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
10,RP Singh,4.0,50,0,0.0,DC,Arun Jaitley Stadium,15 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
11,Brett Geeves,4.0,50,1,24.0,MI,Arun Jaitley Stadium,24 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
12,Yo Mahesh,4.0,50,2,12.0,RR,Wankhede Stadium,30 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
13,Ishant Sharma,4.0,49,0,0.0,PBKS,Eden Gardens,25 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
14,Siddharth Trivedi,4.0,48,0,0.0,PBKS,IS Bindra Stadium,28 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
15,Jacques Kallis,4.0,48,1,24.0,KKR,M. Chinnaswamy Stadium,18 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
16,Pankaj Singh,3.0,48,0,0.0,PBKS,IS Bindra Stadium,28 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
17,Anil Kumble,4.0,47,0,0.0,DEC,M. Chinnaswamy Stadium,03 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
18,Shane Warne,4.0,47,0,0.0,DC,Sawai Mansingh Stadium,11 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
19,Rajat Bhatia,4.0,47,0,0.0,RCB,M. Chinnaswamy Stadium,19 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
20,Joginder Sharma,4.0,47,1,24.0,PBKS,IS Bindra Stadium,19 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
21,Pragyan Ojha,4.0,47,1,24.0,RR,Sawai Mansingh Stadium,09 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
22,Shane Warne,4.0,47,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
23,Irfan Pathan,4.0,47,2,12.0,CSK,IS Bindra Stadium,19 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
24,Zaheer Khan,4.0,46,0,0.0,RR,Sawai Mansingh Stadium,17 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
25,Ajit Agarkar,4.0,46,1,24.0,RR,Sawai Mansingh Stadium,01 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
26,Mohammad Asif,4.0,46,1,24.0,MI,DY Patil Stadium,04 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
27,Andrew Symonds,2.5,46,0,0.0,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
28,Anil Kumble,4.0,45,0,0.0,MI,M. Chinnaswamy Stadium,28 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
29,Ashish Nehra,4.0,45,1,24.0,RCB,Wankhede Stadium,20 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
30,Lakshmipathy Balaji,3.0,45,0,0.0,RR,Chidambaram,24 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
31,Joginder Sharma,3.0,45,0,0.0,DEC,Chidambaram,06 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
32,RP Singh,4.0,44,1,24.0,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
33,Albie Morkel,3.0,44,0,0.0,MI,Wankhede Stadium,14 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
34,Shanthakumaran Sreesanth,3.0,44,1,18.0,RR,IS Bindra Stadium,28 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
35,Makhaya Ntini,4.0,43,0,0.0,RR,Chidambaram,24 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
36,Vikrant Yeligati,4.0,43,0,0.0,PBKS,Wankhede Stadium,21 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
37,Gajendra Singh,4.0,43,1,24.0,PBKS,IS Bindra Stadium,03 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
38,Umar Gul,4.0,43,1,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
39,Jacques Kallis,3.0,43,0,0.0,MI,Wankhede Stadium,20 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
40,Lakshmipathy Balaji,4.0,42,0,0.0,RR,DY Patil Stadium,01 June 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
41,Mohammad Asif,4.0,42,0,0.0,RCB,Arun Jaitley Stadium,30 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
42,Chaminda Vaas,4.0,42,1,24.0,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
43,Manpreet Gony,4.0,42,1,24.0,PBKS,IS Bindra Stadium,19 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
44,Palani Amarnath,4.0,42,1,24.0,PBKS,IS Bindra Stadium,19 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
45,Zaheer Khan,4.0,42,1,24.0,DC,Arun Jaitley Stadium,30 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
46,Glenn McGrath,4.0,42,2,12.0,DEC,Arun Jaitley Stadium,15 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
47,Praveen Kumar,3.0,42,1,18.0,RR,M. Chinnaswamy Stadium,26 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
48,Muttiah Muralitharan,4.0,41,0,0.0,KKR,Eden Gardens,18 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
49,Brett Geeves,4.0,41,0,0.0,RR,Arun Jaitley Stadium,19 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
50,Ishant Sharma,4.0,41,0,0.0,PBKS,IS Bindra Stadium,03 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
51,Vinay Kumar,4.0,41,0,0.0,MI,Wankhede Stadium,20 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
52,Dilhara Fernando,4.0,41,1,24.0,KKR,Eden Gardens,29 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
53,RP Singh,4.0,41,3,8.0,RCB,M. Chinnaswamy Stadium,03 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
54,Dale Steyn,4.0,40,0,0.0,CSK,M. Chinnaswamy Stadium,28 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
55,Albie Morkel,4.0,40,0,0.0,DC,Chidambaram,02 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
56,Pradeep Sangwan,4.0,40,0,0.0,CSK,Chidambaram,02 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
57,Vikram Singh,4.0,40,1,24.0,MI,IS Bindra Stadium,25 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
58,Sohail Tanvir,4.0,40,1,24.0,CSK,DY Patil Stadium,01 June 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
59,Shaun Pollock,4.0,40,1,24.0,PBKS,IS Bindra Stadium,25 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
60,Ashley Noffke,4.0,40,1,24.0,KKR,M. Chinnaswamy Stadium,18 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
61,Vikram Singh,4.0,40,1,24.0,DEC,IS Bindra Stadium,23 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
62,Shane Watson,4.0,40,1,24.0,PBKS,IS Bindra Stadium,28 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
63,Yo Mahesh,4.0,40,2,12.0,CSK,Arun Jaitley Stadium,08 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
64,Manpreet Gony,4.0,40,2,12.0,KKR,Chidambaram,26 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
65,Siddharth Chitnis,4.0,40,2,12.0,PBKS,Wankhede Stadium,21 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
66,Muttiah Muralitharan,4.0,40,2,12.0,MI,Chidambaram,23 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
67,Jacques Kallis,4.0,39,0,0.0,RR,Sawai Mansingh Stadium,17 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
68,Glenn McGrath,4.0,39,0,0.0,MI,Arun Jaitley Stadium,24 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
69,Sohail Tanvir,4.0,39,0,0.0,DEC,Sawai Mansingh Stadium,09 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
70,Shane Watson,4.0,39,0,0.0,PBKS,Sawai Mansingh Stadium,21 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
71,Manpreet Gony,4.0,39,1,24.0,DC,Chidambaram,02 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
72,Sanath Jayasuriya,4.0,39,1,24.0,RCB,Wankhede Stadium,20 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
73,Mohammad Asif,4.0,39,2,12.0,PBKS,IS Bindra Stadium,27 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
74,MF Maharoof,4.0,39,2,12.0,DEC,Arun Jaitley Stadium,15 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
75,Muttiah Muralitharan,4.0,39,2,12.0,RR,DY Patil Stadium,01 June 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
76,Jacques Kallis,4.0,39,2,12.0,DC,Arun Jaitley Stadium,30 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
77,Balachandra Akhil,3.0,39,0,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
78,Glenn McGrath,4.0,38,0,0.0,RR,Wankhede Stadium,30 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
79,Praveen Kumar,4.0,38,0,0.0,KKR,M. Chinnaswamy Stadium,18 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
80,Albie Morkel,4.0,38,1,24.0,RCB,M. Chinnaswamy Stadium,28 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
81,Zaheer Khan,4.0,38,1,24.0,KKR,M. Chinnaswamy Stadium,18 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
82,Manpreet Gony,4.0,38,1,24.0,PBKS,Chidambaram,10 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
83,Dilhara Fernando,4.0,38,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
84,Palani Amarnath,4.0,38,2,12.0,RCB,M. Chinnaswamy Stadium,28 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
85,Zaheer Khan,4.0,38,3,8.0,CSK,M. Chinnaswamy Stadium,28 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
86,Shanthakumaran Sreesanth,3.1,38,1,19.0,RR,Sawai Mansingh Stadium,21 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
87,Munaf Patel,4.0,37,0,0.0,PBKS,IS Bindra Stadium,28 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
88,Makhaya Ntini,4.0,37,0,0.0,DEC,Chidambaram,06 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
89,Irfan Pathan,4.0,37,0,0.0,MI,Wankhede Stadium,21 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
90,Jacob Oram,4.0,37,0,0.0,PBKS,IS Bindra Stadium,19 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
91,Gajendra Singh,4.0,37,1,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
92,Rohan Raje,4.0,37,1,24.0,RR,Sawai Mansingh Stadium,26 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
93,Amit Mishra,4.0,37,2,12.0,RR,Wankhede Stadium,30 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
94,Dhawal Kulkarni,4.0,37,2,12.0,PBKS,IS Bindra Stadium,25 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
95,Dwayne Bravo,4.0,37,2,12.0,CSK,Wankhede Stadium,14 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
96,Albie Morkel,4.0,37,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
97,RP Singh,3.3,37,0,0.0,PBKS,IS Bindra Stadium,23 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
98,Zaheer Khan,3.0,37,0,0.0,DC,M. Chinnaswamy Stadium,19 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
99,Nuwan Zoysa,3.0,37,0,0.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
100,Siddharth Trivedi,3.0,37,0,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
101,Shane Watson,4.0,36,0,0.0,KKR,Eden Gardens,20 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
102,Anil Kumble,4.0,36,0,0.0,PBKS,IS Bindra Stadium,12 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
103,David Hussey,4.0,36,0,0.0,PBKS,Eden Gardens,25 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
104,Jacques Kallis,4.0,36,0,0.0,CSK,M. Chinnaswamy Stadium,28 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
105,James Hopes,4.0,36,0,0.0,CSK,Chidambaram,10 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
106,Dilhara Fernando,4.0,36,1,24.0,PBKS,Wankhede Stadium,21 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
107,Manpreet Gony,4.0,36,1,24.0,DC,Arun Jaitley Stadium,08 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
108,Lakshmipathy Balaji,4.0,36,1,24.0,KKR,Eden Gardens,18 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
109,Chaminda Vaas,4.0,36,1,24.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
110,Sanjay Bangar,4.0,36,1,24.0,CSK,Chidambaram,06 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
111,Munaf Patel,4.0,36,1,24.0,PBKS,Sawai Mansingh Stadium,21 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
112,Scott Styris,4.0,36,1,24.0,PBKS,IS Bindra Stadium,23 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
113,Harbhajan Singh,4.0,36,2,12.0,RCB,Wankhede Stadium,20 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
114,Piyush Chawla,4.0,36,2,12.0,KKR,Eden Gardens,25 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
115,MF Maharoof,4.0,36,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
116,Yo Mahesh,4.0,36,4,6.0,MI,Arun Jaitley Stadium,24 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
117,RP Singh,3.5,36,0,0.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
118,Irfan Pathan,3.4,36,0,0.0,KKR,Eden Gardens,25 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
119,Anil Kumble,3.2,36,0,0.0,PBKS,M. Chinnaswamy Stadium,05 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
120,Dwayne Bravo,3.0,36,0,0.0,CSK,Chidambaram,23 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
121,Praveen Kumar,3.0,36,1,18.0,KKR,Eden Gardens,08 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
122,Chaminda Vaas,3.0,36,1,18.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
123,Piyush Chawla,3.0,36,1,18.0,CSK,Chidambaram,10 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
124,Sanath Jayasuriya,4.0,35,0,0.0,DC,Arun Jaitley Stadium,24 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
125,Zaheer Khan,4.0,35,0,0.0,PBKS,IS Bindra Stadium,12 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
126,Daniel Vettori,4.0,35,1,24.0,RR,Arun Jaitley Stadium,19 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
127,Jacques Kallis,4.0,35,1,24.0,DEC,M. Chinnaswamy Stadium,03 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
128,Vikram Singh,4.0,35,1,24.0,CSK,Chidambaram,10 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
129,Brett Lee,4.0,35,1,24.0,CSK,IS Bindra Stadium,19 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
130,Ashish Nehra,4.0,35,1,24.0,CSK,Chidambaram,23 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
131,Yo Mahesh,4.0,35,1,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
132,Brett Lee,4.0,35,1,24.0,RR,Sawai Mansingh Stadium,21 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
133,Shanthakumaran Sreesanth,4.0,35,2,12.0,MI,Wankhede Stadium,21 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
134,Lakshmipathy Balaji,4.0,35,2,12.0,DC,Arun Jaitley Stadium,08 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
135,Albie Morkel,4.0,35,2,12.0,DC,Arun Jaitley Stadium,08 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
136,Albie Morkel,4.0,35,2,12.0,RR,Chidambaram,24 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
137,Shane Warne,4.0,35,2,12.0,CSK,Chidambaram,24 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
138,RP Singh,4.0,35,3,8.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
139,Piyush Chawla,4.0,35,3,8.0,RR,IS Bindra Stadium,28 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
140,James Hopes,3.0,35,0,0.0,KKR,IS Bindra Stadium,03 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
141,Shanthakumaran Sreesanth,3.0,35,0,0.0,CSK,IS Bindra Stadium,19 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
142,Palani Amarnath,3.0,35,0,0.0,DC,Arun Jaitley Stadium,08 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
143,Palani Amarnath,3.0,35,1,18.0,PBKS,Chidambaram,10 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
144,Joginder Sharma,3.0,35,1,18.0,DC,Chidambaram,02 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
145,David Hussey,3.0,35,1,18.0,DEC,Eden Gardens,20 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
146,Yo Mahesh,2.1,35,0,0.0,RR,Sawai Mansingh Stadium,11 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
147,Andrew Symonds,2.0,35,0,0.0,DC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
148,Balachandra Akhil,4.0,34,0,0.0,CSK,M. Chinnaswamy Stadium,28 April 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
149,Shane Warne,4.0,34,0,0.0,CSK,DY Patil Stadium,01 June 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
150,Vikram Singh,4.0,34,0,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,2008,Most Runs Conceded Innings,Most Runs Conceded Innings - 2008.csv
1,Mashrafe Mortaza,4.0,58,0,0.0,DEC,New Wanderers Stadium,16 May 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
2,Chaminda Vaas,4.0,52,2,12.0,DC,Kingsmead,13 May 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
3,Jacques Kallis,4.0,51,1,24.0,PBKS,Kingsmead,24 April 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
4,Andrew Flintoff,4.0,50,0,0.0,DC,Kingsmead,23 April 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
5,RP Singh,4.0,47,1,24.0,RCB,Supersport Park,21 May 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
6,Praveen Kumar,4.0,45,0,0.0,DEC,Supersport Park,21 May 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
7,Ajit Agarkar,4.0,45,0,0.0,CSK,Supersport Park,18 May 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
8,Dhawal Kulkarni,4.0,45,1,24.0,CSK,St George's Park,16 May 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
9,Manpreet Gony,4.0,45,1,24.0,DC,Kingsmead,23 April 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
10,Ajit Agarkar,4.0,45,1,24.0,RCB,Supersport Park,12 May 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
11,Shanthakumaran Sreesanth,4.0,44,0,0.0,RR,Kingsmead,05 May 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
12,Harmeet Singh Bansal,4.0,44,0,0.0,RCB,Newlands,22 April 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
13,Andrew Flintoff,4.0,44,1,24.0,MI,Newlands,18 April 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
14,Yusuf Abdulla,3.0,44,0,0.0,RR,Kingsmead,05 May 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
15,Ishant Sharma,4.0,43,0,0.0,KKR,Kingsmead,05 May 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
16,Ishant Sharma,4.0,43,0,0.0,DC,Kingsmead,05 May 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
17,Praveen Kumar,4.0,43,0,0.0,DEC,New Wanderers Stadium,24 May 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
18,Amit Mishra,4.0,42,0,0.0,MI,Supersport Park,21 May 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
19,Irfan Pathan,4.0,42,0,0.0,DEC,De Beers Diamond Oval,09 May 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
20,Abhimanyu Mithun,4.0,42,0,0.0,MI,St George's Park,10 May 2009,2009,Most Runs Conceded Innings,Most Runs Conceded Innings - 2009.csv
