POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date,Year,Metric,Source_File
18,Sunil Narine,4.0,13,4,14,3.25,6.0,DC,Eden Gardens,03 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
19,RP Singh,4.0,13,3,17,3.25,8.0,RR,M. Chinnaswamy Stadium,20 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
20,Jacques Kallis,4.0,13,3,13,3.25,8.0,SRH,Eden Gardens,14 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
21,Mitchell Johnson,4.0,13,2,14,3.25,12.0,KKR,Wankhede Stadium,07 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
22,Harbhajan Singh,4.0,13,1,13,3.25,24.0,CSK,Wankhede Stadium,05 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
23,Mohit Sharma,3.0,10,3,11,3.33,6.0,DC,Arun Jaitley Stadium,18 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
24,Darren Sammy,3.0,10,2,10,3.33,9.0,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
25,Ankeet Chavan,3.0,10,0,12,3.33,0.0,MI,Sawai Mansingh Stadium,17 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
26,Thisara Perera,3.1,11,2,13,3.47,9.5,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
27,Harbhajan Singh,4.0,14,3,10,3.5,8.0,PBKS,Wankhede Stadium,29 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
28,Jacques Kallis,4.0,14,2,11,3.5,12.0,PBKS,Eden Gardens,26 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
29,Mitchell Marsh,2.0,7,2,6,3.5,6.0,KKR,Maharashtra Cricket Association's International Stadium,09 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
30,Dale Steyn,4.0,14,1,14,3.5,24.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,19 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
31,Harbhajan Singh,4.0,14,1,10,3.5,24.0,PWI,Maharashtra Cricket Association's International Stadium,11 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
32,Sunil Narine,4.0,14,0,14,3.5,0.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,01 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
33,Shahbaz Nadeem,2.0,7,0,6,3.5,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
34,David Hussey,4.0,14,0,9,3.5,0.0,DC,Arun Jaitley Stadium,23 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
35,Johan Botha,3.0,11,2,10,3.66,9.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
36,Ishant Sharma,3.0,11,1,13,3.66,18.0,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
37,Johan Botha,3.0,11,1,10,3.66,18.0,SRH,Arun Jaitley Stadium,12 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
38,Kevon Cooper,4.0,15,3,11,3.75,8.0,KKR,Sawai Mansingh Stadium,08 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
39,Ali Murtaza,4.0,15,3,12,3.75,8.0,DC,Maharashtra Cricket Association's International Stadium,19 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
40,Ishant Sharma,4.0,15,2,15,3.75,12.0,MI,Rajiv Gandhi Intl. Cricket Stadium,01 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
41,Ajantha Mendis,4.0,15,1,12,3.75,24.0,MI,Maharashtra Cricket Association's International Stadium,11 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
42,Amit Mishra,4.0,15,1,10,3.75,24.0,DC,Arun Jaitley Stadium,12 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
43,Dale Steyn,4.0,15,1,16,3.75,24.0,RR,Sawai Mansingh Stadium,27 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
44,Amit Mishra,4.0,15,1,13,3.75,24.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,07 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
45,James Faulkner,4.0,16,5,12,4.0,4.8,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
46,Pragyan Ojha,4.0,16,2,9,4.0,12.0,CSK,Chidambaram,06 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
47,Albie Morkel,3.0,12,2,11,4.0,9.0,MI,Eden Gardens,26 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
48,Rahul Sharma,4.0,16,2,10,4.0,12.0,RR,Maharashtra Cricket Association's International Stadium,11 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
49,Amit Mishra,4.0,16,1,11,4.0,24.0,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
50,Praveen Kumar,3.0,12,1,11,4.0,18.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
51,Irfan Pathan,4.0,16,1,15,4.0,24.0,KKR,Shaheed Veer Narayan Singh International Cricket Stadium,01 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
52,Parvinder Awana,4.0,16,1,14,4.0,24.0,PWI,Maharashtra Cricket Association's International Stadium,07 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
53,Amit Mishra,4.0,16,1,15,4.0,24.0,RR,Arun Jaitley Stadium,22 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
54,Chris Morris,3.0,12,1,9,4.0,18.0,KKR,Eden Gardens,20 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
55,Yuvraj Singh,2.0,8,1,6,4.0,12.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,05 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
56,Dale Steyn,4.0,16,0,13,4.0,0.0,RCB,M. Chinnaswamy Stadium,09 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
57,Parvinder Awana,4.0,16,0,9,4.0,0.0,MI,Wankhede Stadium,29 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
58,Siddarth Kaul,2.0,8,0,10,4.0,0.0,SRH,Arun Jaitley Stadium,12 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
59,James Faulkner,4.0,16,0,13,4.0,0.0,KKR,Eden Gardens,03 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
60,Sunil Narine,4.0,17,3,11,4.25,8.0,MI,Eden Gardens,24 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
61,Jacques Kallis,4.0,17,2,10,4.25,12.0,RCB,JSCA Stadium,12 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
62,James Faulkner,4.0,17,2,13,4.25,12.0,PWI,Maharashtra Cricket Association's International Stadium,11 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
63,Shahbaz Nadeem,4.0,17,2,11,4.25,12.0,SRH,Arun Jaitley Stadium,12 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
64,Dale Steyn,4.0,17,2,12,4.25,12.0,RR,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
65,Murali Kartik,4.0,17,1,15,4.25,24.0,KKR,JSCA Stadium,12 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
66,Bhuvneshwar Kumar,4.0,17,1,11,4.25,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,05 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
67,Siddharth Trivedi,4.0,17,1,14,4.25,24.0,MI,Sawai Mansingh Stadium,17 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
68,Roelof van der Merwe,4.0,17,1,13,4.25,24.0,PBKS,Arun Jaitley Stadium,23 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
69,Ravi Rampaul,4.0,17,1,13,4.25,24.0,KKR,JSCA Stadium,12 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
70,Dale Steyn,4.0,17,0,13,4.25,0.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
71,Sunil Narine,4.0,17,0,13,4.25,0.0,RCB,M. Chinnaswamy Stadium,11 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
72,Ajit Chandila,3.0,13,2,13,4.33,9.0,SRH,Sawai Mansingh Stadium,27 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
73,Karn Sharma,3.0,13,1,8,4.33,18.0,PWI,Maharashtra Cricket Association's International Stadium,17 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
74,Albie Morkel,3.0,13,1,11,4.33,18.0,DC,Arun Jaitley Stadium,18 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
75,Mohit Sharma,3.0,13,0,12,4.33,0.0,KKR,Eden Gardens,20 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
76,Dirk Nannes,3.5,17,2,14,4.43,11.5,PBKS,IS Bindra Stadium,10 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
77,Vinay Kumar,4.0,18,3,13,4.5,8.0,RR,M. Chinnaswamy Stadium,20 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
78,Bhuvneshwar Kumar,4.0,18,3,16,4.5,8.0,SRH,Maharashtra Cricket Association's International Stadium,17 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
79,Ravichandran Ashwin,4.0,18,2,11,4.5,12.0,DC,Arun Jaitley Stadium,18 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
80,Manpreet Gony,4.0,18,1,15,4.5,24.0,KKR,IS Bindra Stadium,16 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
81,Lasith Malinga,3.2,15,1,9,4.5,20.0,KKR,Wankhede Stadium,07 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
82,Sachithra Senanayake,4.0,18,1,16,4.5,24.0,CSK,Eden Gardens,20 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
83,Shanthakumaran Sreesanth,4.0,18,1,14,4.5,24.0,DC,Arun Jaitley Stadium,06 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
84,Muttiah Muralitharan,4.0,18,1,8,4.5,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,07 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
85,Karn Sharma,2.0,9,1,5,4.5,12.0,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
86,Sachithra Senanayake,4.0,18,1,6,4.5,24.0,SRH,Eden Gardens,14 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
87,Dwayne Bravo,4.0,18,1,10,4.5,24.0,PWI,Maharashtra Cricket Association's International Stadium,30 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
88,Sachithra Senanayake,4.0,18,1,10,4.5,24.0,RCB,JSCA Stadium,12 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
89,Siddharth Trivedi,4.0,18,1,9,4.5,24.0,SRH,Arun Jaitley Stadium,22 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
90,Dirk Nannes,4.0,18,1,8,4.5,24.0,MI,Chidambaram,06 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
91,Yuvraj Singh,2.0,9,0,3,4.5,0.0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,28 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
92,Pragyan Ojha,4.0,18,0,10,4.5,0.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,01 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
93,Angelo Mathews,3.0,14,3,9,4.66,6.0,DC,Maharashtra Cricket Association's International Stadium,19 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
94,Moises Henriques,3.0,14,2,9,4.66,9.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,07 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
95,Vikramjeet Malik,3.0,14,2,12,4.66,9.0,SRH,Arun Jaitley Stadium,22 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
96,Stuart Binny,3.0,14,2,8,4.66,9.0,MI,Sawai Mansingh Stadium,17 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
97,Harbhajan Singh,3.0,14,2,11,4.66,9.0,CSK,Eden Gardens,26 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
98,Thisara Perera,3.0,14,0,9,4.66,0.0,RR,Arun Jaitley Stadium,22 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
99,Chris Morris,3.0,14,0,11,4.66,0.0,MI,Wankhede Stadium,05 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
100,Ajit Chandila,3.0,14,0,12,4.66,0.0,PBKS,Sawai Mansingh Stadium,14 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
101,Pragyan Ojha,2.2,11,3,8,4.71,4.66,CSK,Wankhede Stadium,05 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
102,Amit Mishra,4.0,19,4,10,4.75,6.0,PWI,Maharashtra Cricket Association's International Stadium,17 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
103,Dhawal Kulkarni,4.0,19,3,15,4.75,8.0,RCB,Wankhede Stadium,27 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
104,Amit Mishra,4.0,19,3,10,4.75,8.0,PWI,Rajiv Gandhi Intl. Cricket Stadium,05 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
105,Azhar Mahmood,4.0,19,2,10,4.75,12.0,PWI,Maharashtra Cricket Association's International Stadium,07 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
106,Dwayne Bravo,4.0,19,2,8,4.75,12.0,DC,Chidambaram,14 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
107,Mitchell Johnson,4.0,19,2,13,4.75,12.0,CSK,Eden Gardens,26 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
108,Ravichandran Ashwin,4.0,19,2,8,4.75,12.0,DC,Chidambaram,14 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
109,Praveen Kumar,4.0,19,1,13,4.75,24.0,DC,HPCA Stadium,16 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
110,Piyush Chawla,4.0,19,1,11,4.75,24.0,PWI,Maharashtra Cricket Association's International Stadium,07 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
111,Thisara Perera,4.0,19,1,10,4.75,24.0,PBKS,IS Bindra Stadium,11 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
112,Shane Watson,4.0,19,1,7,4.75,24.0,PBKS,IS Bindra Stadium,09 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
113,James Faulkner,3.2,16,3,11,4.8,6.66,MI,Sawai Mansingh Stadium,17 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
114,James Faulkner,4.0,20,5,13,5.0,4.8,SRH,Sawai Mansingh Stadium,27 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
115,Thisara Perera,4.0,20,3,13,5.0,8.0,PWI,Maharashtra Cricket Association's International Stadium,17 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
116,James Faulkner,4.0,20,3,8,5.0,8.0,CSK,Chidambaram,22 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
117,Ravindra Jadeja,4.0,20,3,10,5.0,8.0,KKR,Eden Gardens,20 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
118,Dale Steyn,4.0,20,2,13,5.0,12.0,PBKS,IS Bindra Stadium,11 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
119,Shanthakumaran Sreesanth,4.0,20,2,13,5.0,12.0,PBKS,Sawai Mansingh Stadium,14 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
120,Syed Mohammad,3.0,15,2,6,5.0,9.0,CSK,Chidambaram,13 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
121,Ravichandran Ashwin,4.0,20,2,7,5.0,12.0,RR,Chidambaram,22 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
122,Jason Holder,4.0,20,2,14,5.0,12.0,RR,Sawai Mansingh Stadium,12 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
123,Piyush Chawla,4.0,20,2,15,5.0,12.0,MI,HPCA Stadium,18 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
124,Sunil Narine,4.0,20,1,10,5.0,24.0,RR,Eden Gardens,03 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
125,Brett Lee,4.0,20,1,14,5.0,24.0,RR,Sawai Mansingh Stadium,08 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
126,Lakshmipathy Balaji,4.0,20,1,10,5.0,24.0,DC,Eden Gardens,03 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
127,Lasith Malinga,4.0,20,1,12,5.0,24.0,DC,Wankhede Stadium,09 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
128,Piyush Chawla,4.0,20,1,10,5.0,24.0,SRH,IS Bindra Stadium,11 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
129,Sunil Narine,4.0,20,1,8,5.0,24.0,CSK,Eden Gardens,20 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
130,Praveen Kumar,3.0,15,1,10,5.0,18.0,MI,HPCA Stadium,18 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
131,Mitchell Johnson,3.0,15,1,11,5.0,18.0,RCB,M. Chinnaswamy Stadium,04 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
132,Siddharth Trivedi,4.0,20,1,6,5.0,24.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
133,Amit Mishra,4.0,20,1,8,5.0,24.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,19 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
134,RP Singh,4.0,20,1,14,5.0,24.0,PWI,M. Chinnaswamy Stadium,23 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
135,Karn Sharma,3.0,15,1,10,5.0,18.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,19 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
136,Anand Rajan,4.0,20,1,11,5.0,24.0,DC,Arun Jaitley Stadium,12 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
137,Mohit Sharma,4.0,20,0,16,5.0,0.0,MI,Wankhede Stadium,05 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
138,Shahbaz Nadeem,4.0,20,0,8,5.0,0.0,MI,Arun Jaitley Stadium,21 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
139,Albie Morkel,4.0,20,0,9,5.0,0.0,PBKS,Chidambaram,02 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
140,Vinay Kumar,3.2,17,2,11,5.1,10.0,KKR,JSCA Stadium,12 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
141,Ravi Rampaul,3.4,19,2,15,5.18,11.0,RR,M. Chinnaswamy Stadium,20 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
142,Mohit Sharma,4.0,21,3,11,5.25,8.0,PWI,Maharashtra Cricket Association's International Stadium,30 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
143,Azhar Mahmood,4.0,21,3,11,5.25,8.0,KKR,IS Bindra Stadium,16 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
144,Sandeep Sharma,4.0,21,3,12,5.25,8.0,SRH,IS Bindra Stadium,11 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
145,Rahul Sharma,4.0,21,2,12,5.25,12.0,SRH,Maharashtra Cricket Association's International Stadium,17 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
146,Pragyan Ojha,4.0,21,2,9,5.25,12.0,KKR,Eden Gardens,24 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
147,Dale Steyn,4.0,21,2,14,5.25,12.0,DC,Rajiv Gandhi Intl. Cricket Stadium,04 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
148,Dhawal Kulkarni,4.0,21,2,12,5.25,12.0,RR,Wankhede Stadium,15 May 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
149,Ravi Rampaul,4.0,21,2,14,5.25,12.0,PWI,M. Chinnaswamy Stadium,23 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
150,Harbhajan Singh,4.0,21,2,10,5.25,12.0,RCB,Wankhede Stadium,27 April 2013,2013,Best Bowling Economy Innings,Best Bowling Economy Innings - 2013.csv
1,Ravichandran Ashwin,2.0,3,2,10,1.5,6.0,DC,Zayed Cricket Stadium,21 April 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
2,Jaydev Unadkat,2.0,3,1,10,1.5,12.0,PBKS,IS Bindra Stadium,25 May 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
3,Shane Watson,2.0,5,1,9,2.5,12.0,RCB,Zayed Cricket Stadium,26 April 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
4,Axar Patel,4.0,11,2,13,2.75,12.0,KKR,Eden Gardens,28 May 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
5,Ravindra Jadeja,4.0,12,4,14,3.0,6.0,KKR,JSCA Stadium,02 May 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
6,Varun Aaron,3.0,9,1,12,3.0,18.0,DC,Sharjah Cricket Stadium,17 April 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
7,Suresh Raina,2.0,6,0,6,3.0,0.0,RR,Dubai International Stadium,23 April 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
8,Lakshmipathy Balaji,4.0,13,4,12,3.25,6.0,SRH,Sharjah Cricket Stadium,22 April 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
9,Umesh Yadav,4.0,13,3,15,3.25,8.0,PBKS,Eden Gardens,28 May 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
10,Harbhajan Singh,4.0,13,2,17,3.25,12.0,RR,Narendra Modi Stadium,19 May 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
11,Rajat Bhatia,4.0,13,2,11,3.25,12.0,CSK,Dubai International Stadium,23 April 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
12,Shakib Al Hasan,4.0,13,1,12,3.25,24.0,DC,Arun Jaitley Stadium,07 May 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
13,Amit Mishra,4.0,13,0,13,3.25,0.0,RR,Narendra Modi Stadium,08 May 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
14,Bhuvneshwar Kumar,4.0,14,4,17,3.5,6.0,RR,Narendra Modi Stadium,08 May 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
15,Mohit Sharma,4.0,14,4,14,3.5,6.0,MI,Dubai International Stadium,25 April 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
16,Rishi Dhawan,4.0,14,2,11,3.5,12.0,RCB,Dubai International Stadium,28 April 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
17,Ashok Dinda,4.0,14,1,12,3.5,24.0,MI,Dubai International Stadium,19 April 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
18,Harbhajan Singh,4.0,14,0,12,3.5,0.0,RCB,Dubai International Stadium,19 April 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
19,Lasith Malinga,4.0,15,2,10,3.75,12.0,CSK,Wankhede Stadium,10 May 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
20,Mitchell Starc,4.0,15,0,16,3.75,0.0,PBKS,Dubai International Stadium,28 April 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
21,Varun Aaron,4.0,16,3,13,4.0,8.0,KKR,Sharjah Cricket Stadium,24 April 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
22,Axar Patel,4.0,16,2,11,4.0,12.0,KKR,Zayed Cricket Stadium,26 April 2014,2014,Best Bowling Economy Innings,Best Bowling Economy Innings - 2014.csv
