POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date,Year,Metric,Source_File
32,Vikram Singh,4.0,15,1,10,3.75,24.0,RCB,IS Bindra Stadium,12 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
33,Jacques Kallis,4.0,15,0,13,3.75,0.0,CSK,Chidambaram,21 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
34,Irfan Pathan,3.2,13,1,14,3.9,20.0,RCB,M. Chinnaswamy Stadium,05 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
35,Shanthakumaran Sreesanth,4.0,16,2,17,4.0,12.0,RCB,M. Chinnaswamy Stadium,05 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
36,Munaf Patel,4.0,16,2,12,4.0,12.0,CSK,Sawai Mansingh Stadium,04 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
37,Piyush Chawla,4.0,16,2,15,4.0,12.0,MI,IS Bindra Stadium,25 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
38,RP Singh,3.0,12,2,10,4.0,9.0,CSK,Chidambaram,06 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
39,Shaun Pollock,4.0,16,2,15,4.0,12.0,DC,DY Patil Stadium,04 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
40,Dale Steyn,4.0,16,0,14,4.0,0.0,PBKS,M. Chinnaswamy Stadium,05 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
41,Sanath Jayasuriya,2.0,8,0,5,4.0,0.0,RR,Sawai Mansingh Stadium,26 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
42,Sohail Tanvir,3.1,13,0,13,4.1,0.0,MI,DY Patil Stadium,07 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
43,Amit Mishra,4.0,17,5,11,4.25,4.8,DEC,Arun Jaitley Stadium,15 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
44,Munaf Patel,4.0,17,3,16,4.25,8.0,DC,Wankhede Stadium,30 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
45,Zaheer Khan,4.0,17,2,13,4.25,12.0,MI,Wankhede Stadium,20 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
46,Rajat Bhatia,4.0,17,2,12,4.25,12.0,RR,Arun Jaitley Stadium,19 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
47,Shaun Pollock,4.0,17,0,10,4.25,0.0,RCB,Wankhede Stadium,20 April 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
48,Manpreet Gony,4.0,17,0,13,4.25,0.0,KKR,Eden Gardens,18 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
49,Ashish Nehra,3.0,13,3,12,4.33,6.0,RR,DY Patil Stadium,07 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
50,Dwayne Bravo,3.0,13,2,12,4.33,9.0,KKR,Wankhede Stadium,16 May 2008,2008,Best Bowling Economy Innings,Best Bowling Economy Innings - 2008.csv
