Unnamed: 0.1,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0,Year,Metric,Source_File
32,Yusuf Pathan,4.0,22,3,8.0,CSK,DY Patil Stadium,01 June 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
33,Dwayne Bravo,4.0,24,3,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
34,Zaheer Khan,4.0,38,3,8.0,CSK,M. Chinnaswamy Stadium,28 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
35,Dwayne Smith,4.0,26,3,8.0,RCB,M. Chinnaswamy Stadium,28 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
36,Shane Warne,4.0,19,3,8.0,PBKS,Sawai Mansingh Stadium,21 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
37,Piyush Chawla,4.0,35,3,8.0,RR,IS Bindra Stadium,28 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
38,Ashok Dinda,4.0,33,3,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
39,Harbhajan Singh,4.0,32,3,8.0,PBKS,IS Bindra Stadium,25 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
40,Ashish Nehra,4.0,25,3,8.0,DC,DY Patil Stadium,04 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
41,Sanath Jayasuriya,4.0,14,3,8.0,KKR,Eden Gardens,29 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
42,Shane Warne,4.0,23,3,8.0,RCB,Sawai Mansingh Stadium,17 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
43,Jacob Oram,4.0,32,3,8.0,KKR,Chidambaram,26 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
44,Piyush Chawla,4.0,25,3,8.0,RCB,M. Chinnaswamy Stadium,05 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
45,MF Maharoof,4.0,34,3,8.0,RR,Wankhede Stadium,30 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
46,Sohail Tanvir,4.0,10,3,8.0,RCB,Sawai Mansingh Stadium,17 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
47,RP Singh,4.0,41,3,8.0,RCB,M. Chinnaswamy Stadium,03 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
48,Dhawal Kulkarni,4.0,33,3,8.0,CSK,Wankhede Stadium,14 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
49,Manpreet Gony,4.0,34,3,8.0,RCB,M. Chinnaswamy Stadium,28 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
50,Sohail Tanvir,4.0,33,3,8.0,CSK,Chidambaram,24 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
51,Umar Gul,4.0,31,3,8.0,RR,Sawai Mansingh Stadium,01 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
52,Shaun Pollock,4.0,12,3,8.0,KKR,Wankhede Stadium,16 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
53,Dale Steyn,4.0,27,3,8.0,KKR,Eden Gardens,08 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
54,Shanthakumaran Sreesanth,4.0,29,3,8.0,RCB,IS Bindra Stadium,12 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
55,Vikram Singh,4.0,29,3,8.0,DC,IS Bindra Stadium,27 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
56,RP Singh,4.0,35,3,8.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
57,Amit Mishra,2.5,27,2,8.5,RR,Sawai Mansingh Stadium,11 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
58,Dhawal Kulkarni,2.5,18,2,8.5,DC,DY Patil Stadium,04 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
59,Dwayne Smith,3.0,22,2,9.0,DC,Arun Jaitley Stadium,24 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
60,Dominic Thornely,3.0,7,2,9.0,KKR,Wankhede Stadium,16 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
61,Chaminda Vaas,3.0,9,2,9.0,KKR,Eden Gardens,20 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
62,James Hopes,3.0,29,2,9.0,RR,IS Bindra Stadium,28 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
63,Ashish Nehra,3.0,22,2,9.0,PBKS,IS Bindra Stadium,25 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
64,Dwayne Bravo,3.0,13,2,9.0,KKR,Wankhede Stadium,16 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
65,Munaf Patel,3.0,20,2,9.0,RCB,M. Chinnaswamy Stadium,26 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
66,RP Singh,3.0,12,2,9.0,CSK,Chidambaram,06 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
67,Rohan Raje,3.0,19,2,9.0,RR,DY Patil Stadium,07 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
68,Dhawal Kulkarni,3.0,21,2,9.0,RR,DY Patil Stadium,07 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
69,Balachandra Akhil,3.0,17,2,9.0,MI,Wankhede Stadium,20 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
