Unnamed: 0,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date,Year,Metric,Source_File
0,Sohail Tanvir,4.0,10,3,0,18,8.0,RCB,Sawai Mansingh Stadium,17 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
1,Dale Steyn,4.0,28,2,0,18,12.0,CSK,Chidambaram,21 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
2,Brett Lee,4.0,9,1,0,17,24.0,MI,IS Bindra Stadium,25 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
3,Shaun Pollock,4.0,9,1,1,17,24.0,CSK,Wankhede Stadium,14 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
4,Irfan Pathan,4.0,10,1,0,17,24.0,RR,IS Bindra Stadium,28 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
5,Shaun Pollock,4.0,12,3,0,17,8.0,KKR,Wankhede Stadium,16 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
6,Dale Steyn,4.0,14,1,0,17,24.0,MI,M. Chinnaswamy Stadium,28 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
7,Shanthakumaran Sreesanth,4.0,16,2,0,17,12.0,RCB,M. Chinnaswamy Stadium,05 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
8,Shane Watson,4.0,19,1,0,17,24.0,CSK,Sawai Mansingh Stadium,04 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
9,Vinay Kumar,4.0,27,3,0,17,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
10,Glenn McGrath,4.0,12,0,0,16,0.0,RR,Sawai Mansingh Stadium,11 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
11,Sohail Tanvir,4.0,14,6,0,16,4.0,CSK,Sawai Mansingh Stadium,04 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
12,Manpreet Gony,4.0,14,2,1,16,12.0,PBKS,Wankhede Stadium,31 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
13,Glenn McGrath,4.0,15,2,0,16,12.0,RCB,M. Chinnaswamy Stadium,19 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
14,Munaf Patel,4.0,17,3,0,16,8.0,DC,Wankhede Stadium,30 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
15,Dilhara Fernando,4.0,18,4,0,16,6.0,RCB,M. Chinnaswamy Stadium,28 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
16,Mohammad Asif,4.0,19,2,0,16,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
17,Glenn McGrath,4.0,21,1,1,16,24.0,RR,Arun Jaitley Stadium,19 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
18,Ashok Dinda,4.0,12,1,0,15,24.0,MI,Eden Gardens,29 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
19,Sohail Tanvir,4.0,14,4,0,15,6.0,MI,Sawai Mansingh Stadium,26 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
20,Shaun Pollock,4.0,16,2,0,15,12.0,DC,DY Patil Stadium,04 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
21,Piyush Chawla,4.0,16,2,0,15,12.0,MI,IS Bindra Stadium,25 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
22,Irfan Pathan,4.0,18,2,0,15,12.0,KKR,IS Bindra Stadium,03 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
23,Irfan Pathan,4.0,19,2,1,15,12.0,MI,IS Bindra Stadium,25 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
24,Shane Watson,4.0,20,2,0,15,12.0,RCB,M. Chinnaswamy Stadium,26 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
25,Glenn McGrath,4.0,22,0,1,15,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
26,Ajit Agarkar,4.0,25,3,0,15,8.0,RCB,M. Chinnaswamy Stadium,18 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
27,Praveen Kumar,4.0,26,1,0,15,24.0,CSK,Chidambaram,21 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
28,Mohammad Hafeez,4.0,8,1,0,14,24.0,DEC,Eden Gardens,20 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
29,Ishant Sharma,4.0,9,2,0,14,12.0,RCB,M. Chinnaswamy Stadium,18 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
30,Muttiah Muralitharan,4.0,12,0,0,14,0.0,KKR,Chidambaram,26 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
31,Sanath Jayasuriya,4.0,14,3,1,14,8.0,KKR,Eden Gardens,29 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
32,RP Singh,4.0,15,2,1,14,12.0,MI,DY Patil Stadium,27 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
33,Irfan Pathan,3.2,13,1,0,14,20.0,RCB,M. Chinnaswamy Stadium,05 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
34,Dale Steyn,4.0,16,0,0,14,0.0,PBKS,M. Chinnaswamy Stadium,05 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
35,Manpreet Gony,4.0,18,1,1,14,24.0,MI,Chidambaram,23 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
36,Murali Kartik,3.4,17,3,0,14,7.33,DEC,Eden Gardens,20 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
37,Scott Styris,4.0,19,0,0,14,0.0,KKR,Eden Gardens,20 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
38,Makhaya Ntini,4.0,21,4,0,14,6.0,KKR,Eden Gardens,18 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
39,Munaf Patel,4.0,22,2,1,14,12.0,KKR,Eden Gardens,20 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
40,Makhaya Ntini,4.0,23,2,0,14,12.0,PBKS,Wankhede Stadium,31 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
41,Shane Warne,4.0,23,1,1,14,24.0,RCB,M. Chinnaswamy Stadium,26 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
42,Zaheer Khan,4.0,24,1,0,14,24.0,RR,M. Chinnaswamy Stadium,26 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
43,Manpreet Gony,4.0,11,2,1,13,12.0,RCB,Chidambaram,21 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
44,Anil Kumble,4.0,14,3,0,13,8.0,CSK,Chidambaram,21 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
45,Jacques Kallis,4.0,15,0,0,13,0.0,CSK,Chidambaram,21 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
46,Sohail Tanvir,3.1,13,0,0,13,0.0,MI,DY Patil Stadium,07 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
47,Zaheer Khan,4.0,17,2,0,13,12.0,MI,Wankhede Stadium,20 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
48,Manpreet Gony,4.0,17,0,0,13,0.0,KKR,Eden Gardens,18 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
49,Muttiah Muralitharan,4.0,20,1,0,13,24.0,RR,Sawai Mansingh Stadium,04 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
50,Dale Steyn,4.0,20,0,0,13,0.0,DEC,M. Chinnaswamy Stadium,03 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
51,Praveen Kumar,4.0,22,2,1,13,12.0,PBKS,M. Chinnaswamy Stadium,05 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
52,MF Maharoof,4.0,22,1,0,13,24.0,RR,Sawai Mansingh Stadium,11 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
53,Piyush Chawla,4.0,22,1,0,13,24.0,MI,Wankhede Stadium,21 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
54,Umar Gul,4.0,23,4,0,13,6.0,PBKS,Eden Gardens,25 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
55,Ajit Agarkar,4.0,23,1,0,13,24.0,MI,Eden Gardens,29 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
56,Irfan Pathan,4.0,24,1,0,13,24.0,CSK,Wankhede Stadium,31 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
57,RP Singh,4.0,24,1,0,13,24.0,RR,Sawai Mansingh Stadium,09 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
58,Shanthakumaran Sreesanth,4.0,25,2,0,13,12.0,KKR,IS Bindra Stadium,03 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
59,Sanjay Bangar,3.0,19,0,0,13,0.0,KKR,Eden Gardens,20 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
60,Albie Morkel,4.0,26,1,0,13,24.0,DEC,Chidambaram,06 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
61,Yo Mahesh,4.0,31,1,0,13,24.0,CSK,Chidambaram,02 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
62,Sohail Tanvir,4.0,31,0,0,13,0.0,RCB,M. Chinnaswamy Stadium,26 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
63,Shane Watson,4.0,32,1,0,13,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
64,Dhawal Kulkarni,4.0,33,3,0,13,8.0,CSK,Wankhede Stadium,14 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
65,Ishant Sharma,3.4,33,1,0,13,22.0,MI,Eden Gardens,29 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
66,Dominic Thornely,3.0,7,2,0,12,9.0,KKR,Wankhede Stadium,16 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
67,Ishant Sharma,3.0,9,1,1,12,18.0,DEC,Eden Gardens,20 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
68,Shane Watson,3.0,10,3,0,12,6.0,DC,Wankhede Stadium,30 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
69,Shoaib Akhtar,3.0,11,4,0,12,4.5,DC,Eden Gardens,13 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
70,Munaf Patel,4.0,16,2,0,12,12.0,CSK,Sawai Mansingh Stadium,04 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
71,Rajat Bhatia,4.0,17,2,0,12,12.0,RR,Arun Jaitley Stadium,19 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
72,Ashish Nehra,3.0,13,3,0,12,6.0,RR,DY Patil Stadium,07 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
73,Dwayne Bravo,3.0,13,2,1,12,9.0,KKR,Wankhede Stadium,16 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
74,Anil Kumble,4.0,18,2,0,12,12.0,DC,M. Chinnaswamy Stadium,19 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
75,Dale Steyn,4.0,19,2,0,12,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
76,Muttiah Muralitharan,4.0,19,1,0,12,24.0,PBKS,Wankhede Stadium,31 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
77,Ramesh Powar,4.0,20,1,0,12,24.0,DEC,IS Bindra Stadium,23 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
78,Munaf Patel,4.0,21,2,0,12,12.0,RCB,Sawai Mansingh Stadium,17 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
79,Manpreet Gony,4.0,21,1,0,12,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
80,Lakshmipathy Balaji,4.0,24,5,0,12,4.8,PBKS,Chidambaram,10 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
81,Dwayne Bravo,4.0,24,3,0,12,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
82,Makhaya Ntini,4.0,24,1,0,12,24.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
83,Piyush Chawla,4.0,25,3,0,12,8.0,RCB,M. Chinnaswamy Stadium,05 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
84,Siddharth Trivedi,4.0,25,2,0,12,12.0,PBKS,Sawai Mansingh Stadium,21 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
85,Yo Mahesh,4.0,25,0,0,12,0.0,RCB,M. Chinnaswamy Stadium,19 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
86,Sohail Tanvir,4.0,26,3,0,12,8.0,KKR,Eden Gardens,20 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
87,Albie Morkel,4.0,27,2,0,12,12.0,PBKS,Wankhede Stadium,31 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
88,Makhaya Ntini,4.0,27,0,0,12,0.0,RCB,Chidambaram,21 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
89,Zaheer Khan,4.0,29,2,0,12,12.0,PBKS,M. Chinnaswamy Stadium,05 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
90,Siddharth Trivedi,4.0,29,1,0,12,24.0,RCB,M. Chinnaswamy Stadium,26 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
91,Piyush Chawla,4.0,29,0,0,12,0.0,DC,IS Bindra Stadium,27 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
92,Shanthakumaran Sreesanth,4.0,31,2,0,12,12.0,MI,IS Bindra Stadium,25 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
93,Piyush Chawla,4.0,31,0,0,12,0.0,DEC,IS Bindra Stadium,23 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
94,RP Singh,4.0,32,0,0,12,0.0,CSK,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
95,Ashok Dinda,4.0,33,3,0,12,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
96,RP Singh,4.0,35,3,0,12,8.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
97,Shanthakumaran Sreesanth,4.0,35,2,0,12,12.0,MI,Wankhede Stadium,21 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
98,Brett Lee,4.0,35,1,0,12,24.0,CSK,IS Bindra Stadium,19 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
99,Ashish Nehra,4.0,35,1,0,12,24.0,CSK,Chidambaram,23 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
100,Brett Lee,4.0,35,1,0,12,24.0,RR,Sawai Mansingh Stadium,21 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
101,Munaf Patel,4.0,36,1,0,12,24.0,PBKS,Sawai Mansingh Stadium,21 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
102,Munaf Patel,4.0,37,0,0,12,0.0,PBKS,IS Bindra Stadium,28 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
103,Glenn McGrath,4.0,38,0,0,12,0.0,RR,Wankhede Stadium,30 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
104,Shane Watson,4.0,39,0,0,12,0.0,PBKS,Sawai Mansingh Stadium,21 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
105,Chaminda Vaas,3.0,9,2,0,11,9.0,KKR,Eden Gardens,20 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
106,MF Maharoof,4.0,13,2,0,11,12.0,RCB,M. Chinnaswamy Stadium,19 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
107,Amit Mishra,4.0,17,5,0,11,4.8,DEC,Arun Jaitley Stadium,15 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
108,Pragyan Ojha,4.0,18,2,0,11,12.0,KKR,Eden Gardens,20 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
109,Shane Warne,4.0,19,3,0,11,8.0,PBKS,Sawai Mansingh Stadium,21 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
110,Muttiah Muralitharan,4.0,19,1,0,11,24.0,RCB,Chidambaram,21 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
111,Shane Warne,4.0,21,2,0,11,12.0,DC,Wankhede Stadium,30 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
112,Shane Watson,4.0,21,2,0,11,12.0,DC,Sawai Mansingh Stadium,11 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
113,Sourav Ganguly,4.0,21,2,0,11,12.0,RCB,M. Chinnaswamy Stadium,18 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
114,Irfan Pathan,4.0,21,1,0,11,24.0,RR,Sawai Mansingh Stadium,21 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
115,Glenn McGrath,4.0,21,1,0,11,24.0,CSK,Chidambaram,02 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
116,Makhaya Ntini,4.0,21,0,1,11,0.0,RR,DY Patil Stadium,01 June 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
117,Paidikalva Vijaykumar,3.0,17,1,0,11,18.0,CSK,Chidambaram,06 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
118,Ashish Nehra,3.0,17,0,0,11,0.0,KKR,Wankhede Stadium,16 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
119,Praveen Kumar,4.0,23,3,0,11,8.0,DEC,M. Chinnaswamy Stadium,03 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
120,Muttiah Muralitharan,4.0,24,1,0,11,24.0,DEC,Chidambaram,06 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
121,Paidikalva Vijaykumar,4.0,24,1,0,11,24.0,DC,Arun Jaitley Stadium,15 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
122,Dwayne Bravo,4.0,25,1,0,11,24.0,KKR,Eden Gardens,29 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
123,Dwayne Smith,4.0,26,3,0,11,8.0,RCB,M. Chinnaswamy Stadium,28 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
124,Ishant Sharma,4.0,26,1,0,11,24.0,RR,Sawai Mansingh Stadium,01 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
125,Shaun Pollock,4.0,27,2,0,11,12.0,KKR,Eden Gardens,29 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
126,Dilhara Fernando,4.0,27,2,0,11,12.0,RR,Sawai Mansingh Stadium,26 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
127,MF Maharoof,4.0,27,1,0,11,24.0,MI,Arun Jaitley Stadium,24 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
128,Vikram Singh,4.0,28,2,0,11,12.0,KKR,Eden Gardens,25 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
129,Pradeep Sangwan,4.0,29,1,0,11,24.0,KKR,Eden Gardens,13 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
130,Praveen Kumar,4.0,29,1,0,11,24.0,MI,Wankhede Stadium,20 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
131,Nuwan Zoysa,4.0,30,1,0,11,24.0,MI,DY Patil Stadium,27 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
132,Ashok Dinda,4.0,30,0,0,11,0.0,RR,Sawai Mansingh Stadium,01 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
133,Ashish Nehra,4.0,31,0,0,11,0.0,CSK,Wankhede Stadium,14 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
134,Ashok Dinda,3.0,24,1,0,11,18.0,PBKS,IS Bindra Stadium,03 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
135,Sohail Tanvir,4.0,33,3,0,11,8.0,CSK,Chidambaram,24 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
136,Ashok Dinda,3.0,25,0,0,11,0.0,CSK,Chidambaram,26 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
137,Umar Gul,3.3,30,2,1,11,10.5,RR,Eden Gardens,20 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
138,Yo Mahesh,4.0,36,4,0,11,6.0,MI,Arun Jaitley Stadium,24 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
139,Irfan Pathan,4.0,37,0,0,11,0.0,MI,Wankhede Stadium,21 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
140,Zaheer Khan,4.0,38,3,0,11,8.0,CSK,M. Chinnaswamy Stadium,28 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
141,Manpreet Gony,4.0,38,1,0,11,24.0,PBKS,Chidambaram,10 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
142,Dale Steyn,4.0,40,0,0,11,0.0,CSK,M. Chinnaswamy Stadium,28 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
143,Sourav Ganguly,3.0,7,1,0,10,18.0,RCB,Eden Gardens,08 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
144,Siddharth Trivedi,3.0,8,1,0,10,18.0,DEC,Sawai Mansingh Stadium,09 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
145,MF Maharoof,4.0,11,2,0,10,12.0,RR,Arun Jaitley Stadium,19 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
146,Yusuf Pathan,3.0,9,0,0,10,0.0,MI,Sawai Mansingh Stadium,26 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
147,Vikram Singh,4.0,15,1,0,10,24.0,RCB,IS Bindra Stadium,12 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
148,RP Singh,3.0,12,2,0,10,9.0,CSK,Chidambaram,06 May 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
149,Shaun Pollock,4.0,17,0,0,10,0.0,RCB,Wankhede Stadium,20 April 2008,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
150,Munaf Patel,4.0,14,2,0,19,12.0,KKR,Kingsmead,20 May 2009,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
151,Ashok Dinda,4.0,12,0,0,17,0.0,RR,Kingsmead,20 May 2009,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
152,Brett Lee,4.0,15,3,1,17,8.0,DC,OUTsurance Oval,15 May 2009,All,Most Dot Balls Per Innings,Most Dot Balls Per Innings All Seasons Combine.csv
