Unnamed: 0,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date,Year,Metric,Source_File
404,Irfan Pathan,3.0,16,1,7,5.33,18.0,DEC,Barabati Stadium,19 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
405,Lasith Malinga,4.0,22,4,10,5.5,6.0,PBKS,Brabourne Stadium,30 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
406,Pradeep Sangwan,4.0,22,3,7,5.5,8.0,RCB,Arun Jaitley Stadium,04 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
407,Shaun Tait,4.0,22,3,10,5.5,8.0,DEC,Narendra Modi Stadium,26 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
408,Shaun Tait,4.0,22,2,11,5.5,12.0,CSK,Narendra Modi Stadium,28 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
409,Pragyan Ojha,4.0,22,2,11,5.5,12.0,RCB,Vidarbha Cricket Association Stadium,12 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
410,Dwayne Bravo,2.0,11,2,6,5.5,6.0,DC,Arun Jaitley Stadium,17 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
411,Ajantha Mendis,4.0,22,2,6,5.5,12.0,DC,Eden Gardens,07 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
412,Ravichandran Ashwin,4.0,22,2,10,5.5,12.0,MI,Chidambaram,06 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
413,Siddharth Trivedi,4.0,22,2,9,5.5,12.0,PBKS,Sawai Mansingh Stadium,07 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
414,Lasith Malinga,4.0,22,2,9,5.5,12.0,RR,Brabourne Stadium,13 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
415,Murali Kartik,4.0,22,2,9,5.5,12.0,RCB,Eden Gardens,14 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
416,Ravichandran Ashwin,4.0,22,1,11,5.5,24.0,KKR,Eden Gardens,16 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
417,Shane Warne,4.0,22,1,6,5.5,24.0,DC,Narendra Modi Stadium,15 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
418,Juan Theron,2.0,11,1,2,5.5,12.0,DC,Arun Jaitley Stadium,11 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
419,Andrew Symonds,4.0,22,1,9,5.5,24.0,PBKS,Barabati Stadium,19 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
420,Ramesh Powar,4.0,22,1,14,5.5,24.0,CSK,Chidambaram,21 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
421,Harmeet Singh Bansal,4.0,22,1,9,5.5,24.0,CSK,DY Patil Stadium,22 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
422,Rajagopal Sathish,2.0,11,1,6,5.5,12.0,KKR,Eden Gardens,19 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
423,Dirk Nannes,4.0,22,0,11,5.5,0.0,DEC,Arun Jaitley Stadium,18 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
424,Angelo Mathews,2.0,11,0,4,5.5,0.0,DC,Arun Jaitley Stadium,29 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
425,Siddharth Trivedi,2.5,16,3,8,5.64,5.66,DEC,Vidarbha Cricket Association Stadium,05 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
426,Murali Kartik,3.0,17,1,8,5.66,18.0,DEC,DY Patil Stadium,12 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
427,Shane Watson,3.0,17,0,13,5.66,0.0,KKR,Eden Gardens,17 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
428,Andrew Symonds,3.0,17,0,7,5.66,0.0,RCB,DY Patil Stadium,24 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
429,Pragyan Ojha,3.5,22,0,12,5.73,0.0,RCB,DY Patil Stadium,24 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
430,Albie Morkel,4.0,23,2,13,5.75,12.0,PBKS,Chidambaram,21 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
431,Yusuf Pathan,4.0,23,2,10,5.75,12.0,KKR,Narendra Modi Stadium,20 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
432,Dilhara Fernando,4.0,23,2,12,5.75,12.0,CSK,DY Patil Stadium,25 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
433,Amit Mishra,4.0,23,2,6,5.75,12.0,RCB,M. Chinnaswamy Stadium,25 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
434,Andrew Symonds,4.0,23,1,10,5.75,24.0,CSK,Vidarbha Cricket Association Stadium,10 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
435,Amit Mishra,4.0,23,1,10,5.75,24.0,PBKS,IS Bindra Stadium,13 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
436,Ryan McLaren,4.0,23,1,11,5.75,24.0,CSK,Brabourne Stadium,25 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
437,Shadab Jakati,4.0,23,1,10,5.75,24.0,KKR,Chidambaram,13 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
438,Harbhajan Singh,4.0,23,1,11,5.75,24.0,CSK,Chidambaram,06 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
439,Ramesh Powar,4.0,23,0,10,5.75,0.0,KKR,Eden Gardens,04 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
440,Lasith Malinga,4.0,23,0,10,5.75,0.0,RR,Sawai Mansingh Stadium,11 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
441,Piyush Chawla,4.0,24,3,9,6.0,8.0,MI,IS Bindra Stadium,09 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
442,Harmeet Singh Bansal,4.0,24,2,9,6.0,12.0,RCB,Vidarbha Cricket Association Stadium,12 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
443,Shanthakumaran Sreesanth,4.0,24,2,10,6.0,12.0,DC,IS Bindra Stadium,13 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
444,Shane Bond,4.0,24,2,8,6.0,12.0,MI,Eden Gardens,19 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
445,Shane Bond,4.0,24,2,13,6.0,12.0,PBKS,IS Bindra Stadium,27 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
446,Jaskaran Singh,3.0,18,2,8,6.0,9.0,KKR,Eden Gardens,01 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
447,Umesh Yadav,4.0,24,2,12,6.0,12.0,DEC,Arun Jaitley Stadium,18 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
448,Pragyan Ojha,4.0,24,2,12,6.0,12.0,MI,DY Patil Stadium,28 March 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
449,Ashok Dinda,4.0,24,2,10,6.0,12.0,RR,Eden Gardens,17 April 2010,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
450,JP Duminy,2.0,3,1,9,1.5,12.0,MI,Wankhede Stadium,14 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
451,Rahul Sharma,4.0,7,2,17,1.75,12.0,MI,DY Patil Stadium,04 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
452,Brett Lee,4.0,8,0,15,2.0,0.0,CSK,Eden Gardens,07 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
453,Amit Mishra,4.0,9,4,16,2.25,6.0,PBKS,HPCA Stadium,21 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
454,Lasith Malinga,4.0,9,3,13,2.25,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
455,Shanthakumaran Sreesanth,4.0,10,2,15,2.5,12.0,DC,Jawaharlal Nehru Stadium,30 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
456,Morne Morkel,4.0,11,1,13,2.75,24.0,RR,Sawai Mansingh Stadium,12 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
457,Johan Botha,2.0,6,3,7,3.0,4.0,MI,Sawai Mansingh Stadium,29 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
458,Wayne Parnell,4.0,12,2,13,3.0,12.0,PBKS,IS Bindra Stadium,08 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
459,Jesse Ryder,3.0,9,1,11,3.0,18.0,PBKS,DY Patil Stadium,10 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
460,Amit Mishra,4.0,12,1,11,3.0,24.0,KTK,Jawaharlal Nehru Stadium,27 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
461,Yusuf Pathan,2.0,6,1,6,3.0,12.0,DC,Arun Jaitley Stadium,28 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
462,Brad Hodge,4.0,13,4,16,3.25,6.0,RR,Holkar Cricket Stadium,15 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
463,Rahul Sharma,4.0,13,3,17,3.25,8.0,RR,Sawai Mansingh Stadium,01 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
464,Shane Warne,4.0,13,1,13,3.25,24.0,MI,Sawai Mansingh Stadium,29 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
465,Charl Langeveldt,3.0,10,2,9,3.33,9.0,KKR,M. Chinnaswamy Stadium,14 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
466,Munaf Patel,3.0,10,0,7,3.33,0.0,RCB,M. Chinnaswamy Stadium,12 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
467,Munaf Patel,2.2,8,3,10,3.42,4.66,PWI,Wankhede Stadium,20 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
468,Sreenath Aravind,4.0,14,4,14,3.5,6.0,PBKS,M. Chinnaswamy Stadium,06 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
469,Amit Mishra,4.0,14,2,14,3.5,12.0,MI,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
470,Raiphi Gomez,4.0,14,2,14,3.5,12.0,KKR,Jawaharlal Nehru Stadium,05 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
471,Amit Singh,4.0,14,2,15,3.5,12.0,MI,Sawai Mansingh Stadium,29 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
472,Daniel Vettori,4.0,14,1,10,3.5,24.0,PBKS,M. Chinnaswamy Stadium,06 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
473,Ashok Dinda,2.0,7,0,7,3.5,0.0,MI,Arun Jaitley Stadium,10 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
474,Lasith Malinga,3.4,13,5,16,3.54,4.4,DC,Arun Jaitley Stadium,10 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
475,Chris Gayle,3.0,11,0,10,3.66,0.0,MI,Chidambaram,27 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
476,Praveen Kumar,3.0,11,0,13,3.66,0.0,RCB,HPCA Stadium,17 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
477,Siddharth Trivedi,4.0,15,3,13,3.75,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
478,Daniel Vettori,4.0,15,2,15,3.75,12.0,CSK,M. Chinnaswamy Stadium,22 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
479,Iqbal Abdulla,4.0,15,1,13,3.75,24.0,CSK,Eden Gardens,07 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
480,RP Singh,4.0,15,0,10,3.75,0.0,MI,Wankhede Stadium,15 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
481,Ali Murtaza,4.0,15,0,14,3.75,0.0,RR,Sawai Mansingh Stadium,29 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
482,Ishant Sharma,3.0,12,5,12,4.0,3.6,KTK,Jawaharlal Nehru Stadium,27 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
483,Piyush Chawla,4.0,16,3,14,4.0,8.0,DC,HPCA Stadium,15 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
484,Ravichandran Ashwin,4.0,16,3,10,4.0,8.0,RCB,Chidambaram,28 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
485,Shane Warne,4.0,16,3,11,4.0,8.0,KTK,Sawai Mansingh Stadium,24 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
486,Shanthakumaran Sreesanth,4.0,16,2,16,4.0,12.0,RR,Holkar Cricket Stadium,15 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
487,Shakib Al Hasan,4.0,16,2,13,4.0,12.0,PWI,DY Patil Stadium,19 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
488,Ishant Sharma,4.0,16,2,16,4.0,12.0,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
489,Ravichandran Ashwin,3.0,12,2,12,4.0,9.0,KKR,Eden Gardens,07 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
490,Iqbal Abdulla,3.0,12,1,11,4.0,18.0,PWI,DY Patil Stadium,19 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
491,Ryan Harris,4.0,16,1,14,4.0,24.0,DC,HPCA Stadium,15 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
492,Irfan Pathan,4.0,16,1,11,4.0,24.0,KKR,Arun Jaitley Stadium,28 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
493,Chris Gayle,2.0,8,1,4,4.0,12.0,PWI,M. Chinnaswamy Stadium,29 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
494,Jesse Ryder,2.0,8,1,5,4.0,12.0,KTK,DY Patil Stadium,13 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
495,Ravichandran Ashwin,4.0,16,1,9,4.0,24.0,KTK,Chidambaram,18 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
496,Alfonso Thomas,4.0,16,1,14,4.0,24.0,MI,Wankhede Stadium,20 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
497,Roelof van der Merwe,4.0,16,0,14,4.0,0.0,MI,Arun Jaitley Stadium,10 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
498,Pragyan Ojha,4.0,16,0,16,4.0,0.0,MI,Wankhede Stadium,14 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
499,Dan Christian,3.0,12,0,8,4.0,0.0,CSK,Chidambaram,01 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
500,Dan Christian,3.0,12,0,11,4.0,0.0,KTK,Jawaharlal Nehru Stadium,27 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
501,Suresh Raina,4.0,16,0,11,4.0,0.0,DC,Chidambaram,12 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
502,Piyush Chawla,4.0,17,4,15,4.25,6.0,RCB,HPCA Stadium,17 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
503,Yuvraj Singh,4.0,17,2,9,4.25,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
504,Rahul Sharma,4.0,17,2,12,4.25,12.0,PBKS,IS Bindra Stadium,08 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
505,Shane Warne,4.0,17,2,15,4.25,12.0,DC,Sawai Mansingh Stadium,12 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
506,Praveen Kumar,4.0,17,1,15,4.25,24.0,PWI,IS Bindra Stadium,08 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
507,Daniel Vettori,4.0,17,1,11,4.25,24.0,KTK,Jawaharlal Nehru Stadium,09 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
508,Lasith Malinga,4.0,17,1,12,4.25,24.0,DEC,Wankhede Stadium,14 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
509,Shane Warne,4.0,17,1,9,4.25,24.0,KKR,Eden Gardens,17 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
510,RP Singh,4.0,17,1,17,4.25,24.0,RR,Holkar Cricket Stadium,15 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
511,Ankeet Chavan,4.0,17,0,14,4.25,0.0,MI,Wankhede Stadium,20 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
512,Dan Christian,3.0,13,2,14,4.33,9.0,PWI,DY Patil Stadium,16 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
513,Pragyan Ojha,3.0,13,1,9,4.33,18.0,PWI,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
514,Dale Steyn,3.0,13,1,11,4.33,18.0,PBKS,HPCA Stadium,21 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
515,Harbhajan Singh,4.0,18,5,10,4.5,4.8,CSK,Wankhede Stadium,22 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
516,Morne Morkel,4.0,18,3,12,4.5,8.0,KTK,Jawaharlal Nehru Stadium,30 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
517,Ali Murtaza,4.0,18,2,13,4.5,12.0,PWI,Wankhede Stadium,20 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
518,Dale Steyn,4.0,18,2,16,4.5,12.0,RR,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
519,Munaf Patel,4.0,18,2,9,4.5,12.0,PBKS,Wankhede Stadium,02 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
520,Jacques Kallis,4.0,18,2,14,4.5,12.0,MI,Wankhede Stadium,25 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
521,Munaf Patel,4.0,18,2,17,4.5,12.0,RR,Sawai Mansingh Stadium,29 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
522,Muttiah Muralitharan,4.0,18,1,10,4.5,24.0,KKR,Eden Gardens,20 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
523,James Faulkner,2.0,9,1,7,4.5,12.0,DC,Arun Jaitley Stadium,21 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
524,Amit Mishra,4.0,18,1,10,4.5,24.0,MI,Wankhede Stadium,14 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
525,Rahul Sharma,4.0,18,1,13,4.5,24.0,KTK,DY Patil Stadium,13 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
526,Ravichandran Ashwin,4.0,18,1,12,4.5,24.0,RCB,M. Chinnaswamy Stadium,22 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
527,Shrikant Wagh,2.0,9,1,5,4.5,12.0,MI,Wankhede Stadium,20 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
528,Amit Singh,4.0,18,1,16,4.5,24.0,DC,Sawai Mansingh Stadium,12 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
529,Bipul Sharma,2.0,9,0,5,4.5,0.0,KKR,Eden Gardens,30 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
530,Daniel Vettori,4.0,18,0,11,4.5,0.0,MI,M. Chinnaswamy Stadium,12 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
531,Chris Gayle,2.0,9,0,5,4.5,0.0,KKR,Eden Gardens,22 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
532,Rajat Bhatia,4.0,18,0,13,4.5,0.0,PBKS,Eden Gardens,30 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
533,Dale Steyn,3.3,16,3,16,4.57,7.0,KTK,Jawaharlal Nehru Stadium,27 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
534,Harbhajan Singh,3.0,14,2,11,4.66,9.0,DC,Arun Jaitley Stadium,10 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
535,Bhuvneshwar Kumar,3.0,14,2,9,4.66,9.0,PBKS,IS Bindra Stadium,08 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
536,Rahul Sharma,3.0,14,1,8,4.66,18.0,MI,Wankhede Stadium,20 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
537,Shane Warne,3.0,14,0,8,4.66,0.0,CSK,Chidambaram,04 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
538,Mithun Manhas,3.0,14,0,8,4.66,0.0,PBKS,DY Patil Stadium,10 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
539,Daniel Vettori,4.0,19,3,9,4.75,8.0,MI,Chidambaram,27 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
540,Shane Watson,4.0,19,3,12,4.75,8.0,MI,Wankhede Stadium,20 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
541,Siddharth Trivedi,4.0,19,3,11,4.75,8.0,KTK,Sawai Mansingh Stadium,24 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
542,Ravichandran Ashwin,4.0,19,2,12,4.75,12.0,PWI,Chidambaram,25 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
543,Ravichandran Ashwin,4.0,19,2,12,4.75,12.0,DC,Chidambaram,12 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
544,Zaheer Khan,4.0,19,2,15,4.75,12.0,CSK,M. Chinnaswamy Stadium,22 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
545,Praveen Kumar,4.0,19,2,17,4.75,12.0,MI,IS Bindra Stadium,10 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
546,Lasith Malinga,4.0,19,2,10,4.75,12.0,PBKS,Wankhede Stadium,02 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
547,Iqbal Abdulla,4.0,19,2,14,4.75,12.0,PBKS,Eden Gardens,30 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
548,Amit Mishra,4.0,19,2,11,4.75,12.0,KKR,Eden Gardens,11 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
549,Shane Watson,4.0,19,1,9,4.75,24.0,PWI,Sawai Mansingh Stadium,01 May 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
550,Johan Botha,4.0,19,1,10,4.75,24.0,KTK,Sawai Mansingh Stadium,24 April 2011,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
