POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Unnamed: 0,Year,Metric,Source_File
,Shivam Sharma,1,1,3.0,44,1,1/44,44.0,14.66,18.0,0,0,892.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Ryan ten Doeschate,6,1,1.0,4,0,0/4,0.0,4.0,0.0,0,0,893.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Virat Kohli,16,2,1.5,10,0,0/4,0.0,5.45,0.0,0,0,894.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Shahbaz Nadeem,4,2,7.0,43,0,0/18,0.0,6.14,0.0,0,0,895.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Murali Vijay,11,2,4.0,28,0,0/12,0.0,7.0,0.0,0,0,896.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Chris Gayle,14,1,2.0,15,0,0/15,0.0,7.5,0.0,0,0,897.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Marchant de Lange,1,1,4.0,30,0,0/30,0.0,7.5,0.0,0,0,898.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Darren Sammy,2,2,3.0,25,0,0/7,0.0,8.33,0.0,0,0,899.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Rajat Bhatia,2,2,5.0,46,0,0/23,0.0,9.2,0.0,0,0,900.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Pawan Suyal,3,3,10.0,95,0,0/22,0.0,9.5,0.0,0,0,901.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Jaydev Unadkat,1,1,3.0,30,0,0/30,0.0,10.0,0.0,0,0,902.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Sean Abbott,2,2,5.0,57,0,0/21,0.0,11.4,0.0,0,0,903.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Pragyan Ojha,1,1,2.0,23,0,0/23,0.0,11.5,0.0,0,0,904.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Barinder Sran,1,1,3.0,35,0,0/35,0.0,11.66,0.0,0,0,905.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Ashok Dinda,2,2,5.0,62,0,0/23,0.0,12.4,0.0,0,0,906.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Azhar Mahmood,1,1,3.0,41,0,0/41,0.0,13.66,0.0,0,0,907.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Bhuvneshwar Kumar,17,17,66.0,490,23,4/29,21.3,7.42,17.21,1,0,908.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Yuzvendra Chahal,13,13,49.1,401,21,4/25,19.09,8.15,14.04,1,0,909.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Shane Watson,16,16,56.3,485,20,4/29,24.25,8.58,16.95,1,0,910.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Dhawal Kulkarni,14,14,49.0,364,18,4/14,20.22,7.42,16.33,1,0,911.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Mustafizur Rahman,16,16,61.0,421,17,3/16,24.76,6.9,21.52,0,0,912.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Mitchell McClenaghan,14,14,53.2,436,17,4/21,25.64,8.17,18.82,1,0,913.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Dwayne Bravo,15,15,56.0,494,17,4/22,29.05,8.82,19.76,1,0,914.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Sandeep Sharma,14,14,50.0,366,15,2/11,24.4,7.32,20.0,0,0,915.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Jasprit Bumrah,14,14,52.0,406,15,3/13,27.06,7.8,20.8,0,0,916.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Andre Russell,12,12,36.3,291,15,4/20,19.4,7.97,14.6,1,0,917.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Barinder Sran,14,14,49.3,413,14,3/28,29.5,8.34,21.21,0,0,918.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Chris Morris,12,12,44.0,308,13,2/30,23.69,7.0,20.3,0,0,919.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Amit Mishra,14,14,46.0,344,13,4/11,26.46,7.47,21.23,1,0,920.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Axar Patel,14,14,47.5,388,13,4/21,29.84,8.11,22.07,1,0,921.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
,Mohit Sharma,14,14,48.3,407,13,3/23,31.3,8.39,22.38,0,0,922.0,All,Most Wickets,Most Wickets All Seasons Combine.csv
