POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
43,Misbah-ul-Haq,17,5,340.0,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
44,Kumar Sangakkara,17,6,283.33,3,0,MI,IS Bindra Stadium,25 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
45,Venugopal Rao,17,5,340.0,1,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
46,Subramaniam Badrinath,17,4,425.0,1,2,PBKS,IS Bindra Stadium,19 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
47,Andrew Symonds,17,6,283.33,2,1,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
48,Niraj Patel,17,6,283.33,4,0,PBKS,IS Bindra Stadium,28 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
49,Sourav Ganguly,17,5,340.0,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
50,Sanath Jayasuriya,17,5,340.0,1,2,PBKS,Wankhede Stadium,21 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
51,Virender Sehwag,17,4,425.0,1,2,PBKS,Arun Jaitley Stadium,17 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
52,Sourav Ganguly,17,4,425.0,1,2,PBKS,Eden Gardens,25 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
53,Venugopal Rao,17,4,425.0,1,2,DC,Arun Jaitley Stadium,15 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
54,Virender Sehwag,17,6,283.33,2,1,CSK,Chidambaram,02 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
55,Yusuf Pathan,17,4,425.0,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
56,Wriddhiman Saha,16,6,266.66,0,2,PBKS,IS Bindra Stadium,03 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
57,Virender Sehwag,16,5,320.0,2,1,RCB,Arun Jaitley Stadium,30 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
58,Gautam Gambhir,16,4,400.0,1,2,DEC,Arun Jaitley Stadium,15 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
59,Rohit Sharma,16,5,320.0,3,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
60,Albie Morkel,16,5,320.0,2,1,RR,Sawai Mansingh Stadium,04 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
61,Kumar Sangakkara,16,6,266.66,2,1,MI,IS Bindra Stadium,25 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
62,David Hussey,16,5,320.0,2,1,PBKS,IS Bindra Stadium,03 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
63,Sanath Jayasuriya,16,6,266.66,1,2,RCB,M. Chinnaswamy Stadium,28 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
64,Shane Warne,16,3,533.33,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
65,Cameron White,16,6,266.66,2,1,MI,M. Chinnaswamy Stadium,28 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
66,Dwayne Smith,16,6,266.66,2,1,PBKS,Wankhede Stadium,21 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
67,Brendon McCullum,16,3,533.33,1,2,RCB,M. Chinnaswamy Stadium,18 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
68,Kamran Akmal,16,4,400.0,2,1,CSK,Chidambaram,24 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
69,Sanath Jayasuriya,16,5,320.0,1,2,DC,Arun Jaitley Stadium,24 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
70,Adam Gilchrist,16,6,266.66,1,2,KKR,Eden Gardens,20 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
71,Piyush Chawla,15,6,250.0,3,0,RR,Sawai Mansingh Stadium,21 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
72,Sanath Jayasuriya,15,5,300.0,2,1,DC,DY Patil Stadium,04 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
73,MS Dhoni,15,5,300.0,0,2,PBKS,Chidambaram,10 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
74,Graeme Smith,15,4,375.0,2,1,CSK,Chidambaram,24 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
75,Michael Hussey,15,4,375.0,2,1,PBKS,IS Bindra Stadium,19 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
76,Kumar Sangakkara,15,5,300.0,2,1,RR,Sawai Mansingh Stadium,21 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
77,Mark Boucher,15,5,300.0,2,1,KKR,Eden Gardens,08 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
78,Mohammad Kaif,15,6,250.0,3,0,KKR,Eden Gardens,20 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
79,Yusuf Pathan,15,5,300.0,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
80,Yusuf Pathan,15,4,375.0,2,1,DC,Wankhede Stadium,30 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
81,Yusuf Pathan,15,4,375.0,2,1,DEC,Sawai Mansingh Stadium,09 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
82,Suresh Raina,15,4,375.0,2,1,PBKS,Wankhede Stadium,31 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
83,Shaun Marsh,15,6,250.0,0,2,CSK,Chidambaram,10 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
84,Sourav Ganguly,15,4,375.0,0,2,PBKS,Eden Gardens,25 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
85,Rahul Dravid,15,4,375.0,2,1,RR,Sawai Mansingh Stadium,17 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
86,Suresh Raina,15,5,300.0,2,1,RR,Chidambaram,24 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
87,Brendon McCullum,15,7,214.28,2,1,CSK,Chidambaram,26 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
88,Manpreet Gony,15,4,375.0,0,2,DEC,Chidambaram,06 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
89,Swapnil Asnodkar,15,6,250.0,2,1,DC,Wankhede Stadium,30 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
90,Graeme Smith,15,6,250.0,2,1,RCB,Sawai Mansingh Stadium,17 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
91,Mark Boucher,15,5,300.0,2,1,PBKS,IS Bindra Stadium,12 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
92,Luke Pomersbach,15,5,300.0,2,1,MI,Wankhede Stadium,21 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
93,James Hopes,15,5,300.0,3,0,RR,IS Bindra Stadium,28 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
94,Albie Morkel,15,4,375.0,2,1,RR,Chidambaram,24 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
95,Virender Sehwag,15,5,300.0,0,2,CSK,Chidambaram,02 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
96,Andrew Symonds,14,4,350.0,0,2,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
97,Abhishek Nayar,14,4,350.0,0,2,PBKS,Wankhede Stadium,21 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
98,Robin Uthappa,14,5,280.0,3,0,DC,Arun Jaitley Stadium,24 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
99,Yuvraj Singh,14,6,233.33,2,1,KKR,IS Bindra Stadium,03 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
100,Virender Sehwag,14,4,350.0,0,2,MI,DY Patil Stadium,04 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
101,Parthiv Patel,14,6,233.33,3,0,PBKS,IS Bindra Stadium,19 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
102,MS Dhoni,14,5,280.0,1,1,PBKS,Chidambaram,10 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
103,Shaun Marsh,14,6,233.33,3,0,RCB,M. Chinnaswamy Stadium,05 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
104,Laxmi Ratan Shukla,14,3,466.66,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
105,MS Dhoni,14,5,280.0,2,1,RCB,M. Chinnaswamy Stadium,28 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
106,Swapnil Asnodkar,14,6,233.33,3,0,DC,Wankhede Stadium,30 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
107,Adam Gilchrist,14,6,233.33,3,0,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
108,Ross Taylor,14,3,466.66,2,1,RR,M. Chinnaswamy Stadium,26 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
109,Robin Uthappa,14,4,350.0,0,2,DC,Arun Jaitley Stadium,24 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
110,James Hopes,14,5,280.0,3,0,CSK,IS Bindra Stadium,19 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
111,VVS Laxman,14,5,280.0,3,0,RCB,M. Chinnaswamy Stadium,03 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
112,Sanjay Bangar,14,4,350.0,0,2,RCB,M. Chinnaswamy Stadium,03 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
113,Parthiv Patel,14,7,200.0,3,0,RCB,Chidambaram,21 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
114,Matthew Hayden,14,6,233.33,2,1,MI,Chidambaram,23 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
115,Rahul Dravid,14,6,233.33,2,1,RR,Sawai Mansingh Stadium,17 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
116,Abhishek Nayar,14,3,466.66,2,1,CSK,Chidambaram,23 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
117,Swapnil Asnodkar,14,5,280.0,3,0,KKR,Sawai Mansingh Stadium,01 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
118,Suresh Raina,14,5,280.0,2,1,RR,Chidambaram,24 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
119,Herschelle Gibbs,14,6,233.33,2,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
120,Yusuf Pathan,14,3,466.66,2,1,KKR,Eden Gardens,20 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
121,Graeme Smith,14,6,233.33,3,0,DC,Wankhede Stadium,30 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
122,Dwayne Bravo,14,5,280.0,2,1,KKR,Eden Gardens,29 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
123,Shaun Marsh,13,5,260.0,1,1,DEC,IS Bindra Stadium,23 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
124,Yusuf Pathan,13,3,433.33,0,2,PBKS,IS Bindra Stadium,28 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
125,Sourav Ganguly,13,4,325.0,0,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
126,Rahul Dravid,13,5,260.0,0,2,DEC,M. Chinnaswamy Stadium,03 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
127,Rahul Dravid,13,6,216.66,3,0,PBKS,M. Chinnaswamy Stadium,05 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
128,David Hussey,13,4,325.0,0,2,RCB,Eden Gardens,08 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
129,Virender Sehwag,13,5,260.0,3,0,RCB,M. Chinnaswamy Stadium,19 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
130,Venugopal Rao,13,5,260.0,0,2,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
131,Stephen Fleming,13,6,216.66,1,1,RCB,Chidambaram,21 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
132,Mahela Jayawardena,13,4,325.0,3,0,DC,Arun Jaitley Stadium,17 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
133,Herschelle Gibbs,13,5,260.0,0,2,DC,Arun Jaitley Stadium,15 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
134,MS Dhoni,13,5,260.0,2,0,KKR,Chidambaram,26 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
135,Yuvraj Singh,13,4,325.0,0,2,RR,Sawai Mansingh Stadium,21 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
136,James Hopes,13,3,433.33,0,2,CSK,IS Bindra Stadium,19 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
137,Sourav Ganguly,13,4,325.0,1,1,RR,Sawai Mansingh Stadium,01 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
138,Michael Hussey,13,5,260.0,0,2,RCB,M. Chinnaswamy Stadium,28 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
139,Cameron White,13,4,325.0,1,1,KKR,Eden Gardens,08 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
140,Yusuf Pathan,13,4,325.0,0,2,CSK,DY Patil Stadium,01 June 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
141,Shane Watson,13,4,325.0,3,0,DC,Arun Jaitley Stadium,19 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
142,Ross Taylor,13,4,325.0,0,2,MI,Wankhede Stadium,20 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
143,Gautam Gambhir,13,4,325.0,3,0,CSK,Arun Jaitley Stadium,08 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
144,Andrew Symonds,13,4,325.0,0,2,KKR,Eden Gardens,20 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
145,Misbah-ul-Haq,13,5,260.0,1,1,DC,M. Chinnaswamy Stadium,19 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
146,Gautam Gambhir,13,5,260.0,3,0,RCB,Arun Jaitley Stadium,30 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
147,Subramaniam Badrinath,13,5,260.0,0,2,PBKS,Chidambaram,10 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
148,Michael Hussey,13,4,325.0,1,1,PBKS,IS Bindra Stadium,19 April 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
149,Yusuf Pathan,13,4,325.0,3,0,PBKS,IS Bindra Stadium,28 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
150,Stephen Fleming,13,5,260.0,1,1,RCB,Chidambaram,21 May 2008,2008,Most Runs Over,Most Runs Over - 2008.csv
1,David Hussey,25,7,357.14,2,2,DEC,New Wanderers Stadium,16 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
2,MS Dhoni,24,6,400.0,2,2,PBKS,Supersport Park,07 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
3,Adam Gilchrist,23,6,383.33,1,3,DC,Supersport Park,22 May 2009,2009,Most Runs Over,Most Runs Over - 2009.csv
