POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0,Year,Metric,Source_File
35.0,Zaheer Khan,4.0,38,3,8.0,CSK,M. Chinnaswamy Stadium,28 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
36.0,Dwayne Smith,4.0,26,3,8.0,RCB,M. Chinnaswamy Stadium,28 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
37.0,Shane Warne,4.0,19,3,8.0,PBKS,Sawai Mansingh Stadium,21 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
38.0,Piyush Chawla,4.0,35,3,8.0,RR,IS Bindra Stadium,28 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
39.0,Ashok Dinda,4.0,33,3,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
40.0,Harbhajan Singh,4.0,32,3,8.0,PBKS,IS Bindra Stadium,25 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
41.0,Ashish Nehra,4.0,25,3,8.0,DC,DY Patil Stadium,04 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
42.0,Sanath Jayasuriya,4.0,14,3,8.0,KKR,Eden Gardens,29 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
43.0,Shane Warne,4.0,23,3,8.0,RCB,Sawai Mansingh Stadium,17 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
44.0,Jacob Oram,4.0,32,3,8.0,KKR,Chidambaram,26 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
45.0,Piyush Chawla,4.0,25,3,8.0,RCB,M. Chinnaswamy Stadium,05 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
46.0,MF Maharoof,4.0,34,3,8.0,RR,Wankhede Stadium,30 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
47.0,Sohail Tanvir,4.0,10,3,8.0,RCB,Sawai Mansingh Stadium,17 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
48.0,RP Singh,4.0,41,3,8.0,RCB,M. Chinnaswamy Stadium,03 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
49.0,Dhawal Kulkarni,4.0,33,3,8.0,CSK,Wankhede Stadium,14 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
50.0,Manpreet Gony,4.0,34,3,8.0,RCB,M. Chinnaswamy Stadium,28 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
51.0,Sohail Tanvir,4.0,33,3,8.0,CSK,Chidambaram,24 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
52.0,Umar Gul,4.0,31,3,8.0,RR,Sawai Mansingh Stadium,01 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
53.0,Shaun Pollock,4.0,12,3,8.0,KKR,Wankhede Stadium,16 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
54.0,Dale Steyn,4.0,27,3,8.0,KKR,Eden Gardens,08 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
55.0,Shanthakumaran Sreesanth,4.0,29,3,8.0,RCB,IS Bindra Stadium,12 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
56.0,Vikram Singh,4.0,29,3,8.0,DC,IS Bindra Stadium,27 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
57.0,RP Singh,4.0,35,3,8.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
58.0,Amit Mishra,2.5,27,2,8.5,RR,Sawai Mansingh Stadium,11 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
59.0,Dhawal Kulkarni,2.5,18,2,8.5,DC,DY Patil Stadium,04 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
60.0,Dwayne Smith,3.0,22,2,9.0,DC,Arun Jaitley Stadium,24 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
61.0,Dominic Thornely,3.0,7,2,9.0,KKR,Wankhede Stadium,16 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
62.0,Chaminda Vaas,3.0,9,2,9.0,KKR,Eden Gardens,20 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
63.0,James Hopes,3.0,29,2,9.0,RR,IS Bindra Stadium,28 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
64.0,Ashish Nehra,3.0,22,2,9.0,PBKS,IS Bindra Stadium,25 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
65.0,Dwayne Bravo,3.0,13,2,9.0,KKR,Wankhede Stadium,16 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
66.0,Munaf Patel,3.0,20,2,9.0,RCB,M. Chinnaswamy Stadium,26 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
67.0,RP Singh,3.0,12,2,9.0,CSK,Chidambaram,06 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
68.0,Rohan Raje,3.0,19,2,9.0,RR,DY Patil Stadium,07 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
69.0,Dhawal Kulkarni,3.0,21,2,9.0,RR,DY Patil Stadium,07 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
70.0,Balachandra Akhil,3.0,17,2,9.0,MI,Wankhede Stadium,20 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
71.0,Venugopal Rao,3.0,25,2,9.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
72.0,Musavir Khote,3.0,29,2,9.0,CSK,Chidambaram,23 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
73.0,Shane Watson,3.1,22,2,9.5,KKR,Sawai Mansingh Stadium,01 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
74.0,Umar Gul,3.3,30,2,10.5,RR,Eden Gardens,20 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
75.0,Joginder Sharma,3.4,27,2,11.0,RCB,M. Chinnaswamy Stadium,28 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
76.0,Virat Kohli,3.4,25,2,11.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
77.0,Irfan Pathan,4.0,19,2,12.0,MI,IS Bindra Stadium,25 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
78.0,RP Singh,4.0,15,2,12.0,MI,DY Patil Stadium,27 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
79.0,Munaf Patel,4.0,16,2,12.0,CSK,Sawai Mansingh Stadium,04 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
80.0,Muttiah Muralitharan,4.0,40,2,12.0,MI,Chidambaram,23 April 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
81.0,Vikram Singh,4.0,28,2,12.0,KKR,Eden Gardens,25 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
82.0,Albie Morkel,4.0,35,2,12.0,DC,Arun Jaitley Stadium,08 May 2008,,2008,Best Bowling Strike Rate Innings,Best Bowling Strike Rate Innings - 2008.csv
