Unnamed: 0,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
0,Virender Sehwag,30,6,500.0,3,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1,Sanath Jayasuriya,26,5,520.0,2,3,CSK,Wankhede Stadium,14 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
2,MF Maharoof,26,5,520.0,0,4,RR,Sawai Mansingh Stadium,11 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
3,Rohit Sharma,26,6,433.33,3,2,DC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
4,Shane Watson,26,6,433.33,5,1,RCB,M. Chinnaswamy Stadium,26 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
5,Misbah-ul-Haq,24,6,400.0,1,3,DC,M. Chinnaswamy Stadium,19 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
6,MS Dhoni,23,6,383.33,4,1,RCB,M. Chinnaswamy Stadium,28 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
7,Kamran Akmal,23,6,383.33,1,3,PBKS,IS Bindra Stadium,28 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
8,Albie Morkel,23,6,383.33,1,3,DC,Arun Jaitley Stadium,08 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
9,Brendon McCullum,22,6,366.66,0,3,RCB,M. Chinnaswamy Stadium,18 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
10,Adam Gilchrist,22,5,440.0,1,3,MI,DY Patil Stadium,27 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
11,Venugopal Rao,22,6,366.66,1,3,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
12,Sanath Jayasuriya,22,5,440.0,2,2,KKR,Wankhede Stadium,16 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
13,Rohit Sharma,21,6,350.0,1,2,PBKS,IS Bindra Stadium,23 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
14,Virender Sehwag,21,5,420.0,2,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
15,Adam Gilchrist,20,6,333.33,2,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
16,Sanath Jayasuriya,20,6,333.33,2,2,CSK,Wankhede Stadium,14 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
17,David Hussey,20,6,333.33,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
18,Shahid Afridi,20,5,400.0,2,2,CSK,Chidambaram,06 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
19,Piyush Chawla,20,5,400.0,3,1,KKR,IS Bindra Stadium,03 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
20,Shaun Pollock,19,4,475.0,0,3,DC,DY Patil Stadium,04 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
21,Shane Watson,19,5,380.0,1,2,DC,Wankhede Stadium,30 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
22,Mohammad Kaif,19,5,380.0,0,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
23,Adam Gilchrist,19,4,475.0,0,3,MI,DY Patil Stadium,27 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
24,Adam Gilchrist,19,5,380.0,1,2,CSK,Chidambaram,06 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
25,Balachandra Akhil,19,4,475.0,0,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
26,Robin Uthappa,19,6,316.66,3,1,CSK,Chidambaram,23 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
27,Shaun Marsh,19,5,380.0,3,1,RCB,IS Bindra Stadium,12 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
28,Rohit Sharma,19,5,380.0,1,2,DC,Arun Jaitley Stadium,15 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
29,Sanath Jayasuriya,19,6,316.66,0,3,CSK,Wankhede Stadium,14 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
30,Rahul Dravid,18,6,300.0,0,3,RR,Sawai Mansingh Stadium,17 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
31,Brendon McCullum,18,6,300.0,3,1,RCB,M. Chinnaswamy Stadium,18 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
32,Virender Sehwag,18,5,360.0,3,1,MI,Arun Jaitley Stadium,24 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
33,Yuvraj Singh,18,3,600.0,0,3,RR,IS Bindra Stadium,28 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
34,Shane Watson,18,8,225.0,2,1,DC,Sawai Mansingh Stadium,11 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
35,Shreevats Goswami,18,6,300.0,3,1,DC,M. Chinnaswamy Stadium,19 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
36,Virender Sehwag,18,5,360.0,3,1,RCB,M. Chinnaswamy Stadium,19 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
37,Sanath Jayasuriya,18,5,360.0,3,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
38,Mark Boucher,18,5,360.0,1,2,DC,Arun Jaitley Stadium,30 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
39,Sanath Jayasuriya,18,6,300.0,3,1,RCB,Wankhede Stadium,20 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
40,Mahela Jayawardena,17,5,340.0,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
41,Brendon McCullum,17,5,340.0,1,2,RCB,M. Chinnaswamy Stadium,18 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
42,Misbah-ul-Haq,17,5,340.0,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
43,Kumar Sangakkara,17,6,283.33,3,0,MI,IS Bindra Stadium,25 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
44,Venugopal Rao,17,5,340.0,1,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
45,Subramaniam Badrinath,17,4,425.0,1,2,PBKS,IS Bindra Stadium,19 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
46,Andrew Symonds,17,6,283.33,2,1,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
47,Niraj Patel,17,6,283.33,4,0,PBKS,IS Bindra Stadium,28 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
48,Sourav Ganguly,17,5,340.0,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
49,Sanath Jayasuriya,17,5,340.0,1,2,PBKS,Wankhede Stadium,21 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
50,Virender Sehwag,17,4,425.0,1,2,PBKS,Arun Jaitley Stadium,17 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
51,Sourav Ganguly,17,4,425.0,1,2,PBKS,Eden Gardens,25 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
52,Venugopal Rao,17,4,425.0,1,2,DC,Arun Jaitley Stadium,15 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
53,Virender Sehwag,17,6,283.33,2,1,CSK,Chidambaram,02 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
54,Yusuf Pathan,17,4,425.0,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
55,Wriddhiman Saha,16,6,266.66,0,2,PBKS,IS Bindra Stadium,03 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
56,Virender Sehwag,16,5,320.0,2,1,RCB,Arun Jaitley Stadium,30 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
57,Gautam Gambhir,16,4,400.0,1,2,DEC,Arun Jaitley Stadium,15 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
58,Rohit Sharma,16,5,320.0,3,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
59,Albie Morkel,16,5,320.0,2,1,RR,Sawai Mansingh Stadium,04 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
60,Kumar Sangakkara,16,6,266.66,2,1,MI,IS Bindra Stadium,25 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
61,David Hussey,16,5,320.0,2,1,PBKS,IS Bindra Stadium,03 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
62,Sanath Jayasuriya,16,6,266.66,1,2,RCB,M. Chinnaswamy Stadium,28 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
63,Shane Warne,16,3,533.33,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
64,Cameron White,16,6,266.66,2,1,MI,M. Chinnaswamy Stadium,28 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
65,Dwayne Smith,16,6,266.66,2,1,PBKS,Wankhede Stadium,21 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
66,Brendon McCullum,16,3,533.33,1,2,RCB,M. Chinnaswamy Stadium,18 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
67,Kamran Akmal,16,4,400.0,2,1,CSK,Chidambaram,24 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
68,Sanath Jayasuriya,16,5,320.0,1,2,DC,Arun Jaitley Stadium,24 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
69,Adam Gilchrist,16,6,266.66,1,2,KKR,Eden Gardens,20 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
70,Piyush Chawla,15,6,250.0,3,0,RR,Sawai Mansingh Stadium,21 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
71,Sanath Jayasuriya,15,5,300.0,2,1,DC,DY Patil Stadium,04 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
72,MS Dhoni,15,5,300.0,0,2,PBKS,Chidambaram,10 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
73,Graeme Smith,15,4,375.0,2,1,CSK,Chidambaram,24 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
74,Michael Hussey,15,4,375.0,2,1,PBKS,IS Bindra Stadium,19 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
75,Kumar Sangakkara,15,5,300.0,2,1,RR,Sawai Mansingh Stadium,21 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
76,Mark Boucher,15,5,300.0,2,1,KKR,Eden Gardens,08 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
77,Mohammad Kaif,15,6,250.0,3,0,KKR,Eden Gardens,20 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
78,Yusuf Pathan,15,5,300.0,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
79,Yusuf Pathan,15,4,375.0,2,1,DC,Wankhede Stadium,30 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
80,Yusuf Pathan,15,4,375.0,2,1,DEC,Sawai Mansingh Stadium,09 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
81,Suresh Raina,15,4,375.0,2,1,PBKS,Wankhede Stadium,31 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
82,Shaun Marsh,15,6,250.0,0,2,CSK,Chidambaram,10 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
83,Sourav Ganguly,15,4,375.0,0,2,PBKS,Eden Gardens,25 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
84,Rahul Dravid,15,4,375.0,2,1,RR,Sawai Mansingh Stadium,17 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
85,Suresh Raina,15,5,300.0,2,1,RR,Chidambaram,24 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
86,Brendon McCullum,15,7,214.28,2,1,CSK,Chidambaram,26 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
87,Manpreet Gony,15,4,375.0,0,2,DEC,Chidambaram,06 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
88,Swapnil Asnodkar,15,6,250.0,2,1,DC,Wankhede Stadium,30 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
89,Graeme Smith,15,6,250.0,2,1,RCB,Sawai Mansingh Stadium,17 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
90,Mark Boucher,15,5,300.0,2,1,PBKS,IS Bindra Stadium,12 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
91,Luke Pomersbach,15,5,300.0,2,1,MI,Wankhede Stadium,21 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
92,James Hopes,15,5,300.0,3,0,RR,IS Bindra Stadium,28 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
93,Albie Morkel,15,4,375.0,2,1,RR,Chidambaram,24 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
94,Virender Sehwag,15,5,300.0,0,2,CSK,Chidambaram,02 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
95,Andrew Symonds,14,4,350.0,0,2,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
96,Abhishek Nayar,14,4,350.0,0,2,PBKS,Wankhede Stadium,21 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
97,Robin Uthappa,14,5,280.0,3,0,DC,Arun Jaitley Stadium,24 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
98,Yuvraj Singh,14,6,233.33,2,1,KKR,IS Bindra Stadium,03 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
99,Virender Sehwag,14,4,350.0,0,2,MI,DY Patil Stadium,04 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
100,Parthiv Patel,14,6,233.33,3,0,PBKS,IS Bindra Stadium,19 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
101,MS Dhoni,14,5,280.0,1,1,PBKS,Chidambaram,10 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
102,Shaun Marsh,14,6,233.33,3,0,RCB,M. Chinnaswamy Stadium,05 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
103,Laxmi Ratan Shukla,14,3,466.66,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
104,MS Dhoni,14,5,280.0,2,1,RCB,M. Chinnaswamy Stadium,28 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
105,Swapnil Asnodkar,14,6,233.33,3,0,DC,Wankhede Stadium,30 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
106,Adam Gilchrist,14,6,233.33,3,0,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
107,Ross Taylor,14,3,466.66,2,1,RR,M. Chinnaswamy Stadium,26 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
108,Robin Uthappa,14,4,350.0,0,2,DC,Arun Jaitley Stadium,24 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
109,James Hopes,14,5,280.0,3,0,CSK,IS Bindra Stadium,19 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
110,VVS Laxman,14,5,280.0,3,0,RCB,M. Chinnaswamy Stadium,03 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
111,Sanjay Bangar,14,4,350.0,0,2,RCB,M. Chinnaswamy Stadium,03 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
112,Parthiv Patel,14,7,200.0,3,0,RCB,Chidambaram,21 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
113,Matthew Hayden,14,6,233.33,2,1,MI,Chidambaram,23 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
114,Rahul Dravid,14,6,233.33,2,1,RR,Sawai Mansingh Stadium,17 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
115,Abhishek Nayar,14,3,466.66,2,1,CSK,Chidambaram,23 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
116,Swapnil Asnodkar,14,5,280.0,3,0,KKR,Sawai Mansingh Stadium,01 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
117,Suresh Raina,14,5,280.0,2,1,RR,Chidambaram,24 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
118,Herschelle Gibbs,14,6,233.33,2,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,25 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
119,Yusuf Pathan,14,3,466.66,2,1,KKR,Eden Gardens,20 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
120,Graeme Smith,14,6,233.33,3,0,DC,Wankhede Stadium,30 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
121,Dwayne Bravo,14,5,280.0,2,1,KKR,Eden Gardens,29 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
122,Shaun Marsh,13,5,260.0,1,1,DEC,IS Bindra Stadium,23 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
123,Yusuf Pathan,13,3,433.33,0,2,PBKS,IS Bindra Stadium,28 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
124,Sourav Ganguly,13,4,325.0,0,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
125,Rahul Dravid,13,5,260.0,0,2,DEC,M. Chinnaswamy Stadium,03 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
126,Rahul Dravid,13,6,216.66,3,0,PBKS,M. Chinnaswamy Stadium,05 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
127,David Hussey,13,4,325.0,0,2,RCB,Eden Gardens,08 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
128,Virender Sehwag,13,5,260.0,3,0,RCB,M. Chinnaswamy Stadium,19 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
129,Venugopal Rao,13,5,260.0,0,2,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
130,Stephen Fleming,13,6,216.66,1,1,RCB,Chidambaram,21 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
131,Mahela Jayawardena,13,4,325.0,3,0,DC,Arun Jaitley Stadium,17 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
132,Herschelle Gibbs,13,5,260.0,0,2,DC,Arun Jaitley Stadium,15 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
133,MS Dhoni,13,5,260.0,2,0,KKR,Chidambaram,26 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
134,Yuvraj Singh,13,4,325.0,0,2,RR,Sawai Mansingh Stadium,21 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
135,James Hopes,13,3,433.33,0,2,CSK,IS Bindra Stadium,19 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
136,Sourav Ganguly,13,4,325.0,1,1,RR,Sawai Mansingh Stadium,01 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
137,Michael Hussey,13,5,260.0,0,2,RCB,M. Chinnaswamy Stadium,28 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
138,Cameron White,13,4,325.0,1,1,KKR,Eden Gardens,08 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
139,Yusuf Pathan,13,4,325.0,0,2,CSK,DY Patil Stadium,01 June 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
140,Shane Watson,13,4,325.0,3,0,DC,Arun Jaitley Stadium,19 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
141,Ross Taylor,13,4,325.0,0,2,MI,Wankhede Stadium,20 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
142,Gautam Gambhir,13,4,325.0,3,0,CSK,Arun Jaitley Stadium,08 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
143,Andrew Symonds,13,4,325.0,0,2,KKR,Eden Gardens,20 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
144,Misbah-ul-Haq,13,5,260.0,1,1,DC,M. Chinnaswamy Stadium,19 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
145,Gautam Gambhir,13,5,260.0,3,0,RCB,Arun Jaitley Stadium,30 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
146,Subramaniam Badrinath,13,5,260.0,0,2,PBKS,Chidambaram,10 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
147,Michael Hussey,13,4,325.0,1,1,PBKS,IS Bindra Stadium,19 April 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
148,Yusuf Pathan,13,4,325.0,3,0,PBKS,IS Bindra Stadium,28 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
149,Stephen Fleming,13,5,260.0,1,1,RCB,Chidambaram,21 May 2008,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
150,David Hussey,25,7,357.14,2,2,DEC,New Wanderers Stadium,16 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
151,MS Dhoni,24,6,400.0,2,2,PBKS,Supersport Park,07 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
152,Adam Gilchrist,23,6,383.33,1,3,DC,Supersport Park,22 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
153,Rohit Sharma,22,6,366.66,2,2,KKR,New Wanderers Stadium,16 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
154,Brendon McCullum,22,6,366.66,4,1,CSK,Supersport Park,18 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
155,Dwayne Bravo,21,6,350.0,2,2,PBKS,Supersport Park,12 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
156,Abhishek Nayar,21,5,420.0,0,3,CSK,Newlands,18 April 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
157,Naman Ojha,21,5,420.0,0,3,KKR,Kingsmead,20 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
158,Adam Gilchrist,20,6,333.33,5,0,DC,Supersport Park,22 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
159,Subramaniam Badrinath,20,6,333.33,3,1,RR,De Beers Diamond Oval,09 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
160,Matthew Hayden,19,5,380.0,3,1,RCB,St George's Park,20 April 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
161,Andrew Symonds,19,5,380.0,1,2,PBKS,De Beers Diamond Oval,09 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
162,Dwayne Smith,19,5,380.0,1,2,DC,Supersport Park,30 April 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
163,Rohit Sharma,19,5,380.0,0,3,RCB,Newlands,22 April 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
164,Ravindra Jadeja,19,6,316.66,2,1,PBKS,Kingsmead,05 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
165,Ravi Bopara,19,6,316.66,1,2,RCB,Kingsmead,24 April 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
166,Adam Gilchrist,18,6,300.0,3,1,PBKS,New Wanderers Stadium,17 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
167,Abhishek Raut,18,6,300.0,1,2,KKR,Newlands,23 April 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
168,Yusuf Pathan,18,5,360.0,1,2,DC,Supersport Park,28 April 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
169,Brendon McCullum,18,5,360.0,1,2,DC,Kingsmead,05 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
170,Simon Katich,18,6,300.0,3,1,DC,OUTsurance Oval,15 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
171,Simon Katich,18,5,360.0,0,3,CSK,Supersport Park,07 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
172,Herschelle Gibbs,18,5,360.0,3,1,CSK,Kingsmead,27 April 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
173,Matthew Hayden,18,5,360.0,1,2,DC,Kingsmead,23 April 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
174,Matthew Hayden,18,6,300.0,0,3,PBKS,Supersport Park,07 May 2009,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
