Unnamed: 0,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
1775,Hardik Pandya,14,4,350.0,0,2,KKR,Eden Gardens,28 April 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1776,Chris Gayle,14,5,280.0,2,1,RR,Sawai Mansingh Stadium,25 March 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1777,Wriddhiman Saha,14,5,280.0,3,0,RCB,M. Chinnaswamy Stadium,04 May 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1778,Jos Buttler,14,4,350.0,0,2,MI,Wankhede Stadium,13 April 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1779,Nitish Rana,14,6,233.33,1,1,RCB,M. Chinnaswamy Stadium,05 April 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1780,MS Dhoni,14,5,280.0,0,2,MI,Chidambaram,07 May 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1781,Faf du Plessis,14,6,233.33,2,1,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1782,AB de Villiers,14,4,350.0,0,2,KKR,M. Chinnaswamy Stadium,05 April 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1783,Andre Russell,14,5,280.0,2,1,CSK,Chidambaram,09 April 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1784,Deepak Hooda,14,3,466.66,2,1,PBKS,IS Bindra Stadium,08 April 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1785,Chris Gayle,14,4,350.0,0,2,DC,Arun Jaitley Stadium,20 April 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1786,Ben Stokes,13,5,260.0,0,1,CSK,Chidambaram,31 March 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1787,Nitish Rana,13,3,433.33,0,2,PBKS,Eden Gardens,27 March 2019,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
